model,timeframe,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,15m,1105,960,145,560,545,3.317382,1.506626,2.180298,1.141473,0.816667,0.635417,0.40625,0.59095,0.526042,0.303125,3.898643,ETHUSDT,15m
Entry Model 1,1h,265,234,31,137,128,2.260306,1.452355,2.114826,1.273523,0.760684,0.628205,0.371795,0.607547,0.525641,0.286325,3.69434,BTCUSDT,1h
Entry Model 1,30m,502,459,43,277,225,6.088753,1.517471,3.329616,1.067037,0.814815,0.636166,0.389978,0.551793,0.557734,0.313725,3.832669,BTCUSDT,30m
Entry Model 1,4h,69,67,2,35,34,1.829972,0.969626,2.267528,1.559652,0.791045,0.462687,0.328358,0.681159,0.358209,0.268657,3.101449,BTCUSDT,4h
Entry Model 1,5m,3589,3159,430,1801,1788,2.891685,1.485306,3.075823,1.173491,0.813549,0.644191,0.386515,0.606018,0.539411,0.305476,3.954305,ETHUSDT,5m
Entry Model 2,15m,1906,1636,270,948,958,3.583532,1.820969,3.138921,1.562804,0.82335,0.687042,0.466381,0.667891,0.529951,0.328851,4.540399,BTCUSDT,15m
Entry Model 2,1h,455,392,63,219,236,3.294847,1.85275,2.664033,1.514504,0.844388,0.665816,0.466837,0.650549,0.545918,0.354592,4.305495,ETHUSDT,1h
Entry Model 2,30m,921,805,116,444,477,3.167016,1.75087,2.746154,1.438042,0.814907,0.669565,0.445963,0.630836,0.545342,0.33913,4.44734,ETHUSDT,30m
Entry Model 2,4h,115,107,8,56,59,3.766939,1.527623,3.346828,1.992618,0.841121,0.71028,0.476636,0.695652,0.523364,0.308411,3.930435,ETHUSDT,4h
Entry Model 2,5m,5968,5133,835,2927,3041,3.444528,1.807736,3.199558,1.643564,0.816482,0.679525,0.464251,0.691354,0.525619,0.329242,4.668733,ETHUSDT,5m
Entry Model 3,15m,829,803,26,387,442,5.425133,2.751787,6.300096,2.751773,0.879203,0.794521,0.612702,0.755127,0.545455,0.371108,3.960193,ETHUSDT,15m
Entry Model 3,1h,230,220,10,110,120,20.663959,4.541361,7.039785,3.252954,0.904545,0.854545,0.759091,0.813043,0.568182,0.431818,3.895652,ETHUSDT,1h
Entry Model 3,30m,301,279,22,143,158,70.382158,2.20966,25.774,2.380888,0.885305,0.763441,0.551971,0.744186,0.541219,0.329749,3.873754,BTCUSDT,30m
