model,htf_zone_type,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,Breaker,136,125,11,97,39,1.951757,1.260493,1.627795,0.846154,0.784,0.552,0.328,0.5,0.44,0.24,3.860294,BTCUSDT,15m
Entry Model 1,FVG,180,162,18,129,51,2.185441,1.509805,1.669925,1.095292,0.777778,0.635802,0.395062,0.583333,0.493827,0.283951,3.683333,SOLUSDT,5m
Entry Model 1,IFVG,177,164,13,64,113,2.189969,1.256217,2.467498,0.775931,0.737805,0.609756,0.341463,0.480226,0.560976,0.310976,3.418079,ETHUSDT,4h
Entry Model 1,Liquidity,3,3,0,0,3,1.534715,1.074074,0.963375,0.925926,0.666667,0.666667,0.333333,0.333333,0.666667,0.333333,3.0,BTCUSDT,30m
Entry Model 1,OB,19,18,1,15,4,1.328302,0.740375,3.100227,1.530646,0.722222,0.277778,0.222222,0.684211,0.166667,0.111111,3.526316,ETHUSDT,30m
Entry Model 1,PD,152,146,6,77,75,2.356635,0.988698,1.834884,0.888673,0.719178,0.486301,0.267123,0.480263,0.424658,0.246575,3.809211,ETHUSDT,30m
Entry Model 2,Breaker,137,116,21,98,39,2.312749,1.724007,1.968258,1.216106,0.853448,0.62931,0.448276,0.635036,0.431034,0.275862,4.051095,BTCUSDT,1h
Entry Model 2,FVG,182,150,32,127,55,3.488733,1.625282,2.070823,1.176848,0.833333,0.686667,0.4,0.664835,0.506667,0.273333,3.879121,SOLUSDT,4h
Entry Model 2,IFVG,173,155,18,80,93,2.417096,1.320755,2.337707,1.100645,0.748387,0.587097,0.322581,0.589595,0.490323,0.245161,3.820809,SOLUSDT,15m
Entry Model 2,Liquidity,10,8,2,1,9,3.284171,3.854839,0.803601,0.84375,1.0,0.875,0.75,0.4,0.625,0.5,3.2,BTCUSDT,30m
Entry Model 2,OB,18,17,1,13,5,3.318161,1.634173,3.493012,1.8,0.882353,0.705882,0.470588,0.722222,0.529412,0.176471,3.833333,SOLUSDT,30m
Entry Model 2,PD,165,158,7,91,74,2.314952,1.028842,1.822631,0.857343,0.772152,0.506329,0.329114,0.436364,0.462025,0.272152,3.830303,ETHUSDT,30m
Entry Model 3,Breaker,12,11,1,8,4,5.770327,6.4453,9.805838,8.2,0.909091,0.909091,0.818182,1.0,0.636364,0.545455,4.25,BTCUSDT,30m
Entry Model 3,FVG,28,24,4,20,8,16.575311,7.086734,10.216274,4.745894,0.875,0.75,0.75,0.821429,0.5,0.5,3.857143,ETHUSDT,1h
Entry Model 3,IFVG,17,15,2,7,10,7.394566,2.175022,11.518621,5.547368,0.666667,0.6,0.533333,1.0,0.4,0.4,3.705882,BTCUSDT,4h
Entry Model 3,OB,2,2,0,1,1,6.329555,6.329555,18.321262,18.321262,0.5,0.5,0.5,1.0,0.0,0.0,3.5,BTCUSDT,4h
Entry Model 3,PD,29,28,1,11,18,5.554567,3.853358,10.605413,6.178571,0.892857,0.892857,0.678571,0.827586,0.571429,0.357143,3.793103,SOLUSDT,1h
