event_id,model_name,symbol,timeframe,direction,detected_at,status,entry_low,entry_high,entry_price,invalidation,risk,score,reason,components_json,warning,skipped_reason,htf_bias,htf_confidence,htf_zone_type,htf_zone_low,htf_zone_high,htf_location,htf_allows_long,htf_allows_short,htf_objective_type,htf_objective_level,displacement_factor,has_displacement,swing_significance,fvg_status,fvg_fill_percent,source_fvg_direction,breach_time,breach_displacement_factor,ifvg_mean_threshold,source_zone_type,source_zone_time,fill_percent,fill_mode,ltf_mss_time,forward_bars,mfe,mae,mfe_r,mae_r,hit_0_5r,hit_1r,hit_2r,invalidated,bars_to_0_5r,bars_to_1r,bars_to_2r,bars_to_invalidation,future_high,future_low,hit_1r_before_invalidation,hit_2r_before_invalidation
088060b49c20d7e0,Entry Model 1,BTCUSDT,4h,long,1759219200000,triggered,112381.3,113404.5,112892.9,110236.6,2656.2999999999884,3,"HTF bullish discount/IFVG context -> LTF SSL sweep, BOS, post-BOS FVG retest","{""components"": {""fvg_detected"": true, ""inversion_detected"": false, ""ltf_refinement_detected"": false, ""structure_shift_detected"": true, ""sweep_detected"": true}, ""metadata"": {""body_ratio"": 0.40133, ""displacement_factor"": 0.676937, ""fvg_created_at"": 1759161600000, ""fvg_fill_percent"": 0.0, ""fvg_mitigated_at"": null, ""fvg_status"": ""open"", ""fvg_time"": 1759161600000, ""has_displacement"": false, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_bias"": ""bullish"", ""htf_confidence"": 0.55, ""htf_location"": ""discount"", ""htf_objective_level"": 113386.65, ""htf_objective_type"": ""equal_highs"", ""htf_reason"": ""HTF bullish discount bearish IFVG; equal_highs up"", ""htf_zone_high"": 115186.7, ""htf_zone_low"": 112036.8, ""htf_zone_type"": ""IFVG"", ""range_expansion"": 0.91647, ""structure_time"": 1759104000000, ""structure_type"": ""BOS"", ""sweep_time"": 1759089600000, ""sweep_timestamp"": 1759089600000, ""swing_significance"": ""long""}, ""raw_model_name"": ""Entry Model 1"", ""raw_timeframe"": ""4h"", ""raw_timestamp"": 1759219200000}",,,bullish,0.55,IFVG,112036.8,115186.7,discount,True,False,equal_highs,113386.65,0.676937,False,long,open,,,,,,,,,,,20,11007.100000000006,149.29999999998836,4.143771411361689,0.056206000828215565,True,True,True,False,2,6,9,,123900.0,112743.6,True,True
8c92548fdbac777f,Entry Model 2,BTCUSDT,4h,long,1759219200000,triggered,112574.6,113143.3,112858.95000000001,110236.6,2622.350000000006,4,"HTF bullish discount/IFVG context -> LTF SSL sweep, IFVG inversion retest","{""components"": {""fvg_detected"": false, ""inversion_detected"": true, ""ltf_refinement_detected"": false, ""structure_shift_detected"": false, ""sweep_detected"": true}, ""metadata"": {""breach_displacement_factor"": 0.8489418440926746, ""breach_time"": 1759147200000, ""candidate_kind"": ""IFVG"", ""has_displacement"": true, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_bias"": ""bullish"", ""htf_confidence"": 0.55, ""htf_location"": ""discount"", ""htf_objective_level"": 113386.65, ""htf_objective_type"": ""equal_highs"", ""htf_reason"": ""HTF bullish discount bearish IFVG; equal_highs up"", ""htf_zone_high"": 115186.7, ""htf_zone_low"": 112036.8, ""htf_zone_type"": ""IFVG"", ""ifvg_mean_threshold"": 112858.95000000001, ""invalidated_at"": 1759147200000, ""retest_at"": null, ""source_direction"": ""bearish"", ""source_fvg_direction"": ""bearish"", ""source_fvg_time"": 1758772800000, ""sweep_time"": 1759089600000, ""swing_significance"": ""long""}, ""raw_model_name"": ""Entry Model 2"", ""raw_timeframe"": ""4h"", ""raw_timestamp"": 1759219200000}",,,bullish,0.55,IFVG,112036.8,115186.7,discount,True,False,equal_highs,113386.65,,True,long,,,bearish,1759147200000,0.8489418440926746,112858.95000000001,,,,,,20,11041.049999999988,115.35000000000582,4.210364749175344,0.04398726333250923,True,True,True,False,2,6,8,,123900.0,112743.6,True,True
e0752cacb1be467f,Entry Model 2,BTCUSDT,4h,long,1759968000000,triggered,122049.7,123261.6,122655.65,121468.5,1187.1499999999942,4,"HTF bullish premium/FVG context -> LTF SSL sweep, IFVG inversion retest","{""components"": {""fvg_detected"": false, ""inversion_detected"": true, ""ltf_refinement_detected"": false, ""structure_shift_detected"": false, ""sweep_detected"": true}, ""metadata"": {""breach_displacement_factor"": 0.6646134115967135, ""breach_time"": 1759939200000, ""candidate_kind"": ""IFVG"", ""has_displacement"": true, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_bias"": ""bullish"", ""htf_confidence"": 0.7, ""htf_location"": ""premium"", ""htf_objective_level"": 123300.0, ""htf_objective_type"": ""swing_high"", ""htf_reason"": ""HTF bullish premium bullish FVG; swing_high up"", ""htf_zone_high"": 121432.0, ""htf_zone_low"": 120999.0, ""htf_zone_type"": ""FVG"", ""ifvg_mean_threshold"": 122655.65, ""invalidated_at"": 1759939200000, ""retest_at"": 1759953600000, ""source_direction"": ""bearish"", ""source_fvg_direction"": ""bearish"", ""source_fvg_time"": 1759852800000, ""sweep_time"": 1759910400000, ""swing_significance"": ""intermediate""}, ""raw_model_name"": ""Entry Model 2"", ""raw_timeframe"": ""4h"", ""raw_timestamp"": 1759968000000}",,,bullish,0.7,FVG,120999.0,121432.0,premium,True,False,swing_high,123300.0,,True,intermediate,,,bearish,1759939200000,0.6646134115967135,122655.65,,,,,,20,1084.4500000000116,21139.149999999994,0.9134902918755144,17.80663774586202,True,False,False,True,3,,,2,123740.1,101516.5,False,False
7ab20221fade3c71,Entry Model 1,BTCUSDT,4h,long,1760976000000,triggered,110404.3,110552.3,110478.3,107377.2,3101.100000000006,3,"HTF neutral equilibrium/IFVG context -> LTF SSL sweep, BOS, post-BOS FVG retest","{""components"": {""fvg_detected"": true, ""inversion_detected"": false, ""ltf_refinement_detected"": false, ""structure_shift_detected"": true, ""sweep_detected"": true}, ""metadata"": {""body_ratio"": 0.695525, ""displacement_factor"": 0.86394, ""fvg_created_at"": 1760947200000, ""fvg_fill_percent"": 19.8649, ""fvg_mitigated_at"": 1760961600000, ""fvg_status"": ""partially_filled"", ""fvg_time"": 1760947200000, ""has_displacement"": false, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_bias"": ""neutral"", ""htf_confidence"": 0.125, ""htf_location"": ""equilibrium"", ""htf_objective_level"": 113386.65, ""htf_objective_type"": ""equal_highs"", ""htf_reason"": ""HTF neutral equilibrium bullish IFVG; equal_highs up"", ""htf_zone_high"": 110935.0, ""htf_zone_low"": 110250.0, ""htf_zone_type"": ""IFVG"", ""range_expansion"": 1.028448, ""structure_time"": 1760932800000, ""structure_type"": ""BOS"", ""sweep_time"": 1760918400000, ""sweep_timestamp"": 1760918400000, ""swing_significance"": ""long""}, ""raw_model_name"": ""Entry Model 1"", ""raw_timeframe"": ""4h"", ""raw_timestamp"": 1760976000000}",,,neutral,0.125,IFVG,110250.0,110935.0,equilibrium,True,False,equal_highs,113386.65,0.86394,False,long,partially_filled,19.8649,,,,,,,,,,20,3461.699999999997,4118.0,1.116281319531776,1.3279159008093877,True,True,False,True,5,6,,10,113940.0,106360.3,True,False
b441868f975c46ef,Entry Model 1,BTCUSDT,4h,long,1764849600000,triggered,91970.4,92578.0,92274.2,87005.0,5269.199999999997,4,"HTF bullish discount/Breaker context -> LTF SSL sweep, BOS, post-BOS FVG retest","{""components"": {""fvg_detected"": true, ""inversion_detected"": false, ""ltf_refinement_detected"": false, ""structure_shift_detected"": true, ""sweep_detected"": true}, ""metadata"": {""body_ratio"": 0.491638, ""displacement_factor"": 0.876026, ""fvg_created_at"": 1764734400000, ""fvg_fill_percent"": 100.0, ""fvg_mitigated_at"": 1764763200000, ""fvg_status"": ""filled"", ""fvg_time"": 1764734400000, ""has_displacement"": false, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_bias"": ""bullish"", ""htf_confidence"": 1.0, ""htf_location"": ""discount"", ""htf_objective_level"": 110676.8, ""htf_objective_type"": ""equal_highs"", ""htf_reason"": ""HTF bullish discount bullish Breaker; equal_highs up"", ""htf_zone_high"": 92916.9, ""htf_zone_low"": 92169.8, ""htf_zone_type"": ""Breaker"", ""range_expansion"": 1.580557, ""structure_time"": 1764691200000, ""structure_type"": ""BOS"", ""sweep_time"": 1764676800000, ""sweep_timestamp"": 1764676800000, ""swing_significance"": ""intermediate""}, ""raw_model_name"": ""Entry Model 1"", ""raw_timeframe"": ""4h"", ""raw_timestamp"": 1764849600000}",,,bullish,1.0,Breaker,92169.8,92916.9,discount,True,False,equal_highs,110676.8,0.876026,False,intermediate,filled,100.0,,,,,,,,,,20,869.1999999999971,4586.199999999997,0.16495862749563456,0.8703788051317087,False,False,False,False,,,,,93143.4,87688.0,False,False
1f58cfbbc5a2935b,Entry Model 1,BTCUSDT,4h,long,1768305600000,triggered,91524.5,91850.6,91687.55,90319.4,1368.1500000000087,4,"HTF bullish premium/Breaker context -> LTF SSL sweep, BOS, post-BOS FVG retest","{""components"": {""fvg_detected"": true, ""inversion_detected"": false, ""ltf_refinement_detected"": false, ""structure_shift_detected"": true, ""sweep_detected"": true}, ""metadata"": {""body_ratio"": 0.664716, ""displacement_factor"": 0.815594, ""fvg_created_at"": 1768291200000, ""fvg_fill_percent"": 0.0, ""fvg_mitigated_at"": null, ""fvg_status"": ""open"", ""fvg_time"": 1768291200000, ""has_displacement"": true, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_bias"": ""bullish"", ""htf_confidence"": 0.7, ""htf_location"": ""premium"", ""htf_objective_level"": 110676.8, ""htf_objective_type"": ""equal_highs"", ""htf_reason"": ""HTF bullish premium bullish Breaker; equal_highs up"", ""htf_zone_high"": 92916.9, ""htf_zone_low"": 92169.8, ""htf_zone_type"": ""Breaker"", ""range_expansion"": 2.171969, ""structure_time"": 1768219200000, ""structure_type"": ""BOS"", ""sweep_time"": 1768204800000, ""sweep_timestamp"": 1768204800000, ""swing_significance"": ""short""}, ""raw_model_name"": ""Entry Model 1"", ""raw_timeframe"": ""4h"", ""raw_timestamp"": 1768305600000}",,,bullish,0.7,Breaker,92169.8,92916.9,premium,True,False,equal_highs,110676.8,0.815594,True,short,open,,,,,,,,,,,20,6244.550000000003,0.0,4.56422906845007,0.0,True,True,True,False,1,1,2,,97932.1,93009.8,True,True
4ded1cb8e1f803d2,Entry Model 1,BTCUSDT,1h,long,1772496000000,triggered,67188.0,68871.6,68029.8,65234.4,2795.4000000000015,4,"HTF bullish premium/PD context -> LTF SSL sweep, BOS, post-BOS FVG retest","{""components"": {""fvg_detected"": true, ""inversion_detected"": false, ""ltf_refinement_detected"": false, ""structure_shift_detected"": true, ""sweep_detected"": true}, ""metadata"": {""body_ratio"": 0.732404, ""displacement_factor"": 1.0, ""fvg_created_at"": 1772467200000, ""fvg_fill_percent"": 20.8957, ""fvg_mitigated_at"": 1772470800000, ""fvg_status"": ""partially_filled"", ""fvg_time"": 1772467200000, ""has_displacement"": true, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_bias"": ""bullish"", ""htf_confidence"": 0.7, ""htf_location"": ""premium"", ""htf_objective_level"": 90368.29999999999, ""htf_objective_type"": ""equal_highs"", ""htf_reason"": ""HTF bullish premium bullish PD; equal_highs up"", ""htf_zone_high"": 68690.5, ""htf_zone_low"": 68690.5, ""htf_zone_type"": ""PD"", ""range_expansion"": 3.399586, ""structure_time"": 1772463600000, ""structure_type"": ""BOS"", ""sweep_time"": 1772460000000, ""sweep_timestamp"": 1772460000000, ""swing_significance"": ""short""}, ""raw_model_name"": ""Entry Model 1"", ""raw_timeframe"": ""1h"", ""raw_timestamp"": 1772496000000}",,,bullish,0.7,PD,68690.5,68690.5,premium,True,False,equal_highs,90368.29999999999,1.0,True,short,partially_filled,20.8957,,,,,,,,,,20,1191.800000000003,1949.800000000003,0.4263432782428283,0.6975030407097381,False,False,False,False,,,,,69221.6,66080.0,False,False
f950886049439b14,Entry Model 1,BTCUSDT,1h,long,1772517600000,triggered,67188.0,68871.6,68029.8,65234.4,2795.4000000000015,4,"HTF bullish premium/Breaker context -> LTF SSL sweep, BOS, post-BOS FVG retest","{""components"": {""fvg_detected"": true, ""inversion_detected"": false, ""ltf_refinement_detected"": false, ""structure_shift_detected"": true, ""sweep_detected"": true}, ""metadata"": {""body_ratio"": 0.732404, ""displacement_factor"": 1.0, ""fvg_created_at"": 1772467200000, ""fvg_fill_percent"": 45.1948, ""fvg_mitigated_at"": 1772470800000, ""fvg_status"": ""partially_filled"", ""fvg_time"": 1772467200000, ""has_displacement"": true, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_bias"": ""bullish"", ""htf_confidence"": 0.7, ""htf_location"": ""premium"", ""htf_objective_level"": 90368.29999999999, ""htf_objective_type"": ""equal_highs"", ""htf_reason"": ""HTF bullish premium bullish Breaker; equal_highs up"", ""htf_zone_high"": 67979.3, ""htf_zone_low"": 66973.9, ""htf_zone_type"": ""Breaker"", ""range_expansion"": 3.399586, ""structure_time"": 1772463600000, ""structure_type"": ""BOS"", ""sweep_time"": 1772460000000, ""sweep_timestamp"": 1772460000000, ""swing_significance"": ""short""}, ""raw_model_name"": ""Entry Model 1"", ""raw_timeframe"": ""1h"", ""raw_timestamp"": 1772517600000}",,,bullish,0.7,Breaker,66973.9,67979.3,premium,True,False,equal_highs,90368.29999999999,1.0,True,short,partially_filled,45.1948,,,,,,,,,,20,943.0999999999913,1949.800000000003,0.3373756886313196,0.6975030407097381,False,False,False,False,,,,,68972.9,66080.0,False,False
4a21417935fbe74d,Entry Model 1,BTCUSDT,1h,long,1772528400000,triggered,66111.9,66911.2,66511.54999999999,65973.1,538.4499999999825,4,"HTF bullish equilibrium/IFVG context -> LTF SSL sweep, BOS, post-BOS FVG retest","{""components"": {""fvg_detected"": true, ""inversion_detected"": false, ""ltf_refinement_detected"": false, ""structure_shift_detected"": true, ""sweep_detected"": true}, ""metadata"": {""body_ratio"": 0.878583, ""displacement_factor"": 0.933221, ""fvg_created_at"": 1772463600000, ""fvg_fill_percent"": 7.2188, ""fvg_mitigated_at"": 1772524800000, ""fvg_status"": ""partially_filled"", ""fvg_time"": 1772463600000, ""has_displacement"": true, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_bias"": ""bullish"", ""htf_confidence"": 0.875, ""htf_location"": ""equilibrium"", ""htf_objective_level"": 90368.29999999999, ""htf_objective_type"": ""equal_highs"", ""htf_reason"": ""HTF bullish equilibrium bullish IFVG; equal_highs up"", ""htf_zone_high"": 67150.0, ""htf_zone_low"": 64980.0, ""htf_zone_type"": ""IFVG"", ""range_expansion"": 2.695364, ""structure_time"": 1772460000000, ""structure_type"": ""BOS"", ""sweep_time"": 1772449200000, ""sweep_timestamp"": 1772449200000, ""swing_significance"": ""long""}, ""raw_model_name"": ""Entry Model 1"", ""raw_timeframe"": ""1h"", ""raw_timestamp"": 1772528400000}",,,bullish,0.875,IFVG,64980.0,67150.0,equilibrium,True,False,equal_highs,90368.29999999999,0.933221,True,long,partially_filled,7.2188,,,,,,,,,,20,2461.350000000006,431.54999999998836,4.571176525211413,0.8014671742965964,True,True,True,False,1,2,3,,68972.9,66080.0,True,True
9af5403f9f11c07f,Entry Model 2,BTCUSDT,1h,long,1772528400000,triggered,66182.9,66513.8,66348.35,65973.1,375.25,5,"HTF bullish equilibrium/IFVG context -> LTF SSL sweep, IFVG inversion retest","{""components"": {""fvg_detected"": false, ""inversion_detected"": true, ""ltf_refinement_detected"": false, ""structure_shift_detected"": false, ""sweep_detected"": true}, ""metadata"": {""breach_displacement_factor"": 0.9332207207207195, ""breach_time"": 1772460000000, ""candidate_kind"": ""IFVG"", ""has_displacement"": true, ""htf_allows_long"": true, ""htf_allows_short"": false, ""htf_bias"": ""bullish"", ""htf_confidence"": 0.875, ""htf_location"": ""equilibrium"", ""htf_objective_level"": 90368.29999999999, ""htf_objective_type"": ""equal_highs"", ""htf_reason"": ""HTF bullish equilibrium bullish IFVG; equal_highs up"", ""htf_zone_high"": 67150.0, ""htf_zone_low"": 64980.0, ""htf_zone_type"": ""IFVG"", ""ifvg_mean_threshold"": 66348.35, ""invalidated_at"": 1772460000000, ""retest_at"": null, ""source_direction"": ""bearish"", ""source_fvg_direction"": ""bearish"", ""source_fvg_time"": 1772434800000, ""sweep_time"": 1772449200000, ""swing_significance"": ""long""}, ""raw_model_name"": ""Entry Model 2"", ""raw_timeframe"": ""1h"", ""raw_timestamp"": 1772528400000}",,,bullish,0.875,IFVG,64980.0,67150.0,equilibrium,True,False,equal_highs,90368.29999999999,,True,long,,,bearish,1772460000000,0.9332207207207195,66348.35,,,,,,20,2624.5499999999884,268.3500000000058,6.994137241838743,0.7151232511659049,True,True,True,False,1,1,2,,68972.9,66080.0,True,True
