model,htf_zone_type,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,Breaker,70,70,0,67,3,1.891507,1.273104,1.686735,0.942882,0.742857,0.542857,0.385714,0.5,0.428571,0.285714,4.257143,ETHUSDT,30m
Entry Model 1,FVG,82,73,9,72,10,2.070595,1.519889,1.847856,1.062992,0.726027,0.60274,0.424658,0.573171,0.493151,0.342466,4.195122,ETHUSDT,5m
Entry Model 1,IFVG,85,81,4,59,26,2.624642,1.420076,3.073567,0.734694,0.802469,0.654321,0.444444,0.435294,0.567901,0.395062,3.541176,ETHUSDT,1h
Entry Model 1,OB,8,7,1,8,0,0.603633,0.678798,2.829485,1.627451,0.571429,0.142857,0.0,0.625,0.142857,0.0,3.875,BTCUSDT,15m
Entry Model 1,PD,79,77,2,62,17,2.486223,1.167224,1.660908,0.801969,0.766234,0.545455,0.337662,0.405063,0.493506,0.311688,4.291139,ETHUSDT,30m
Entry Model 2,Breaker,77,68,9,75,2,2.35376,1.702158,2.125774,1.238555,0.882353,0.661765,0.441176,0.623377,0.470588,0.294118,4.402597,BTCUSDT,1h
Entry Model 2,FVG,91,75,16,82,9,2.470392,1.582694,2.10819,1.379822,0.786667,0.68,0.36,0.692308,0.506667,0.28,4.395604,ETHUSDT,4h
Entry Model 2,IFVG,91,81,10,71,20,2.776239,1.359223,2.262569,0.761905,0.82716,0.62963,0.358025,0.483516,0.530864,0.283951,4.054945,BTCUSDT,30m
Entry Model 2,Liquidity,1,1,0,1,0,2.416396,2.416396,2.024507,2.024507,1.0,1.0,1.0,1.0,0.0,0.0,5.0,BTCUSDT,30m
Entry Model 2,OB,4,4,0,4,0,2.70049,2.489689,5.032836,2.949899,1.0,1.0,0.5,0.5,1.0,0.5,4.75,BTCUSDT,15m
Entry Model 2,PD,78,77,1,64,14,2.931428,1.386905,1.64732,0.774922,0.818182,0.584416,0.38961,0.358974,0.532468,0.363636,4.358974,ETHUSDT,30m
Entry Model 3,Breaker,8,7,1,8,0,5.118515,5.408501,11.018925,8.618352,0.857143,0.857143,0.714286,1.0,0.428571,0.285714,4.625,BTCUSDT,30m
Entry Model 3,FVG,14,12,2,13,1,14.964125,6.269846,10.589069,5.598718,0.833333,0.75,0.75,0.714286,0.666667,0.666667,4.142857,BTCUSDT,1h
Entry Model 3,IFVG,3,2,1,3,0,15.329674,15.329674,10.526818,10.526818,0.5,0.5,0.5,1.0,0.5,0.5,4.333333,BTCUSDT,4h
Entry Model 3,OB,1,1,0,1,0,12.65911,12.65911,25.038623,25.038623,1.0,1.0,1.0,1.0,0.0,0.0,4.0,BTCUSDT,4h
Entry Model 3,PD,12,12,0,9,3,3.631087,2.21795,11.400537,7.094612,0.833333,0.833333,0.5,0.833333,0.5,0.416667,4.166667,SOLUSDT,4h
