model,timeframe,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,15m,72,69,3,72,0,2.031731,1.4,1.72182,1.0,0.768116,0.594203,0.391304,0.527778,0.507246,0.333333,4.347222,ETHUSDT,15m
Entry Model 1,1h,42,40,2,32,10,2.152318,0.823263,3.811675,0.801718,0.575,0.325,0.175,0.452381,0.225,0.125,3.642857,ETHUSDT,1h
Entry Model 1,30m,65,57,8,65,0,2.874419,1.403132,1.089129,0.727857,0.807018,0.631579,0.403509,0.4,0.578947,0.350877,4.184615,ETHUSDT,30m
Entry Model 1,4h,63,61,2,39,24,2.409584,2.037476,2.244474,0.639867,0.819672,0.737705,0.508197,0.301587,0.688525,0.47541,3.47619,ETHUSDT,4h
Entry Model 1,5m,82,81,1,60,22,1.910011,1.148148,2.214251,1.624352,0.753086,0.530864,0.395062,0.658537,0.395062,0.296296,4.341463,ETHUSDT,5m
Entry Model 2,15m,86,79,7,86,0,2.073462,1.043594,2.053004,1.316131,0.78481,0.544304,0.35443,0.651163,0.455696,0.278481,4.465116,SOLUSDT,15m
Entry Model 2,1h,42,38,4,35,7,3.277415,1.75034,1.511027,0.70605,0.894737,0.789474,0.421053,0.428571,0.657895,0.315789,4.0,SOLUSDT,1h
Entry Model 2,30m,64,56,8,64,0,4.364796,2.188122,1.293477,0.924756,0.928571,0.821429,0.535714,0.546875,0.535714,0.392857,4.421875,SOLUSDT,30m
Entry Model 2,4h,46,44,2,25,21,2.73807,1.379815,2.814448,0.797457,0.772727,0.613636,0.386364,0.413043,0.522727,0.340909,3.76087,BTCUSDT,4h
Entry Model 2,5m,104,89,15,87,17,1.751684,1.285714,2.461323,0.966491,0.808989,0.573034,0.314607,0.557692,0.494382,0.258427,4.461538,SOLUSDT,5m
Entry Model 3,15m,9,7,2,9,0,2.979176,2.53644,15.641691,11.486486,0.857143,0.714286,0.571429,0.888889,0.285714,0.285714,4.777778,ETHUSDT,15m
Entry Model 3,1h,7,6,1,7,0,13.777402,3.513258,7.295664,6.509212,0.666667,0.666667,0.5,0.714286,0.666667,0.5,4.285714,BTCUSDT,1h
Entry Model 3,30m,7,6,1,7,0,9.841901,7.709094,6.428982,6.411544,1.0,1.0,1.0,0.857143,0.666667,0.666667,4.142857,BTCUSDT,30m
Entry Model 3,4h,12,12,0,10,2,10.938347,6.189593,15.926951,13.262852,0.75,0.75,0.666667,0.916667,0.5,0.5,3.916667,BTCUSDT,4h
Entry Model 3,5m,3,3,0,1,2,2.820135,1.522572,1.37896,1.860465,1.0,1.0,0.333333,0.666667,0.666667,0.333333,4.333333,SOLUSDT,5m
