model,htf_zone_type,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,Breaker,483,439,44,218,265,2.188586,1.300652,1.828388,1.085765,0.792711,0.569476,0.334852,0.57971,0.471526,0.248292,3.389234,SOLUSDT,4h
Entry Model 1,FVG,559,499,60,267,292,2.295486,1.32809,2.117411,1.068966,0.805611,0.593186,0.360721,0.581395,0.49499,0.270541,3.296959,SOLUSDT,5m
Entry Model 1,IFVG,465,416,49,233,232,2.508339,1.316015,2.59182,1.043508,0.802885,0.598558,0.365385,0.56129,0.536058,0.317308,3.294624,ETHUSDT,4h
Entry Model 1,Liquidity,12,11,1,5,7,3.782472,0.808239,1.234907,1.397851,0.636364,0.454545,0.363636,0.583333,0.454545,0.363636,3.583333,BTCUSDT,30m
Entry Model 1,OB,42,35,7,23,19,3.378108,1.344096,3.767051,1.43384,0.742857,0.542857,0.457143,0.690476,0.428571,0.342857,3.190476,BTCUSDT,1h
Entry Model 1,PD,394,349,45,191,203,2.569421,1.172016,2.117446,1.043478,0.770774,0.541547,0.338109,0.555838,0.421203,0.243553,3.296954,SOLUSDT,4h
Entry Model 2,Breaker,264,239,25,137,127,1.956103,1.215247,3.487739,1.255981,0.803347,0.564854,0.334728,0.602273,0.443515,0.238494,3.814394,SOLUSDT,1h
Entry Model 2,FVG,347,298,49,180,167,2.858917,1.399969,1.881516,1.045424,0.832215,0.634228,0.345638,0.582133,0.513423,0.261745,3.616715,SOLUSDT,4h
Entry Model 2,IFVG,310,282,28,146,164,2.385369,1.328917,2.495248,1.211588,0.762411,0.606383,0.340426,0.587097,0.514184,0.258865,3.66129,SOLUSDT,30m
Entry Model 2,Liquidity,12,10,2,2,10,3.372318,3.854839,0.857363,0.84375,1.0,0.9,0.7,0.416667,0.6,0.5,3.916667,BTCUSDT,30m
Entry Model 2,OB,34,31,3,16,18,3.151178,1.762,6.935076,1.754542,0.870968,0.709677,0.451613,0.735294,0.580645,0.258065,3.588235,SOLUSDT,15m
Entry Model 2,PD,293,267,26,152,141,2.462286,1.204861,2.244869,0.966667,0.771536,0.543071,0.333333,0.52901,0.456929,0.247191,3.634812,BTCUSDT,30m
Entry Model 3,Breaker,3,2,1,3,0,34.867461,34.867461,9.402934,9.402934,1.0,1.0,1.0,1.0,0.5,0.5,3.0,BTCUSDT,1h
Entry Model 3,FVG,9,7,2,6,3,14.114116,6.937977,7.837204,3.339695,0.857143,0.857143,0.857143,1.0,0.428571,0.428571,3.444444,ETHUSDT,1h
Entry Model 3,IFVG,4,3,1,3,1,9.964339,2.175022,3.083731,3.552331,1.0,1.0,0.666667,1.0,0.333333,0.333333,3.75,ETHUSDT,1h
Entry Model 3,OB,1,1,0,1,0,12.65911,12.65911,25.038623,25.038623,1.0,1.0,1.0,1.0,0.0,0.0,3.0,BTCUSDT,4h
Entry Model 3,PD,4,4,0,1,3,11.200771,10.932773,7.628312,6.82676,1.0,0.75,0.75,1.0,0.25,0.0,3.25,SOLUSDT,1h
