model,timeframe,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,15m,399,354,45,179,220,2.201215,1.32405,1.966986,1.010625,0.850282,0.615819,0.378531,0.553885,0.539548,0.316384,3.521303,BTCUSDT,15m
Entry Model 1,1h,349,308,41,167,182,2.311107,1.111074,2.606359,1.187573,0.733766,0.532468,0.305195,0.584527,0.448052,0.24026,3.123209,ETHUSDT,1h
Entry Model 1,30m,402,354,48,186,216,2.403485,1.147475,2.614945,1.266224,0.79661,0.545198,0.333333,0.644279,0.451977,0.245763,3.345771,SOLUSDT,30m
Entry Model 1,4h,376,340,36,201,175,3.155421,1.429846,2.0527,0.973483,0.782353,0.629412,0.408824,0.539894,0.502941,0.294118,2.861702,SOLUSDT,4h
Entry Model 1,5m,429,393,36,204,225,2.014114,1.235294,1.779103,1.00605,0.791349,0.557252,0.335878,0.545455,0.468193,0.264631,3.664336,ETHUSDT,5m
Entry Model 2,15m,261,235,26,132,129,2.474603,1.320755,2.217999,1.445986,0.821277,0.591489,0.374468,0.651341,0.46383,0.26383,3.89272,BTCUSDT,15m
Entry Model 2,1h,212,186,26,107,105,2.537277,1.53742,1.871778,0.896574,0.83871,0.672043,0.370968,0.518868,0.596774,0.301075,3.466981,BTCUSDT,1h
Entry Model 2,30m,242,221,21,114,128,2.786818,1.343914,2.31118,1.2,0.855204,0.628959,0.357466,0.61157,0.479638,0.239819,3.818182,SOLUSDT,30m
Entry Model 2,4h,239,213,26,115,124,2.963939,1.257827,4.46507,0.962205,0.741784,0.57277,0.338028,0.539749,0.455399,0.234742,3.087866,SOLUSDT,4h
Entry Model 2,5m,306,272,34,165,141,1.765841,1.118056,2.167835,1.0,0.742647,0.536765,0.297794,0.558824,0.466912,0.242647,3.980392,SOLUSDT,5m
Entry Model 3,15m,6,4,2,4,2,9.217158,8.334315,11.414534,3.529068,0.75,0.75,0.75,1.0,0.25,0.25,3.5,SOLUSDT,15m
Entry Model 3,1h,8,7,1,6,2,24.326209,22.0,6.473078,6.745776,1.0,0.857143,0.857143,1.0,0.285714,0.142857,3.25,BTCUSDT,1h
Entry Model 3,30m,5,4,1,3,2,8.714037,6.691639,5.190548,3.312589,1.0,1.0,1.0,1.0,0.75,0.75,3.4,SOLUSDT,30m
Entry Model 3,4h,1,1,0,1,0,12.65911,12.65911,25.038623,25.038623,1.0,1.0,1.0,1.0,0.0,0.0,3.0,BTCUSDT,4h
Entry Model 3,5m,1,1,0,0,1,1.221591,1.221591,1.698864,1.698864,1.0,1.0,0.0,1.0,0.0,0.0,4.0,ETHUSDT,5m
