model,htf_zone_type,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,Breaker,12,12,0,9,3,1.454062,0.958741,3.654998,2.413558,0.833333,0.416667,0.333333,0.666667,0.416667,0.333333,4.583333,BTCUSDT,5m
Entry Model 1,FVG,14,14,0,12,2,1.626468,0.581507,2.237624,1.957415,0.5,0.357143,0.285714,0.714286,0.214286,0.142857,4.071429,BTCUSDT,5m
Entry Model 1,IFVG,3,3,0,1,2,3.383956,2.95067,0.310488,0.024035,1.0,1.0,1.0,0.0,1.0,1.0,4.0,BTCUSDT,5m
Entry Model 1,OB,1,1,0,1,0,1.027078,1.027078,7.104929,7.104929,1.0,1.0,0.0,1.0,1.0,0.0,4.0,BTCUSDT,15m
Entry Model 1,PD,19,19,0,9,10,1.259986,0.915093,3.431519,2.076087,0.736842,0.421053,0.263158,0.736842,0.315789,0.157895,4.789474,BTCUSDT,15m
Entry Model 2,Breaker,17,16,1,15,2,1.567692,1.411145,3.079767,2.162956,0.875,0.625,0.375,0.647059,0.625,0.375,4.705882,BTCUSDT,15m
Entry Model 2,FVG,13,12,1,13,0,2.0974,0.919676,2.127024,1.778657,0.666667,0.416667,0.333333,0.692308,0.333333,0.25,4.769231,BTCUSDT,15m
Entry Model 2,IFVG,8,6,2,3,5,2.697033,2.049599,1.660042,0.91713,1.0,0.666667,0.5,0.375,0.5,0.333333,4.0,BTCUSDT,5m
Entry Model 2,OB,1,1,0,1,0,3.393398,3.393398,14.231545,14.231545,1.0,1.0,1.0,1.0,1.0,1.0,5.0,BTCUSDT,15m
Entry Model 2,PD,22,22,0,16,6,1.127163,0.694192,3.21986,1.792245,0.636364,0.363636,0.181818,0.590909,0.318182,0.181818,4.590909,BTCUSDT,15m
Entry Model 3,FVG,3,2,1,3,0,3.657729,3.657729,17.411363,17.411363,1.0,0.5,0.5,1.0,0.5,0.5,4.333333,BTCUSDT,15m
Entry Model 3,PD,4,4,0,2,2,1.786576,1.711016,3.905841,2.06844,1.0,1.0,0.25,0.75,0.5,0.25,4.5,BTCUSDT,15m
