time,open,high,low,close,volume
1776886020000,78979.8,78980.0,78935.0,78979.9,132.003
1776886200000,78979.9,79009.4,78947.3,78979.4,201.515
1776886380000,78979.3,78979.3,78771.5,78781.4,536.564
1776886560000,78781.4,78830.0,78733.5,78821.1,342.319
1776886740000,78821.0,78830.0,78781.1,78785.5,131.843
1776886920000,78785.4,78820.0,78770.3,78805.4,113.852
1776887100000,78805.4,78840.0,78754.9,78829.5,174.817
1776887280000,78829.4,78868.0,78777.4,78809.9,221.093
1776887460000,78810.0,78819.3,78716.4,78769.4,167.958
1776887640000,78769.5,78880.0,78769.5,78880.0,247.403
1776887820000,78880.0,78910.0,78766.9,78791.3,438.92
1776888000000,78791.3,78868.9,78757.1,78839.9,232.459
1776888180000,78840.0,78860.0,78814.5,78814.5,164.314
1776888360000,78814.6,78830.4,78750.0,78750.0,105.953
1776888540000,78750.0,78781.7,78688.0,78731.4,366.573
1776888720000,78731.5,78757.3,78700.0,78700.1,136.209
1776888900000,78700.1,78716.5,78682.0,78684.8,180.103
1776889080000,78684.8,78716.1,78522.8,78535.6,1066.009
1776889260000,78535.6,78540.3,78419.7,78530.0,997.445
1776889440000,78530.0,78557.6,78478.3,78548.7,244.429
1776889620000,78548.8,78560.0,78534.4,78547.4,79.606
1776889800000,78547.4,78570.0,78532.9,78570.0,111.944
1776889980000,78569.9,78570.0,78500.0,78500.0,336.645
1776890160000,78500.1,78508.3,78450.1,78491.1,349.044
1776890340000,78491.1,78525.9,78470.0,78493.5,82.194
1776890520000,78493.5,78493.6,78461.4,78461.5,147.373
1776890700000,78461.6,78475.0,78403.2,78459.2,192.72
1776890880000,78459.3,78479.4,78438.0,78440.5,243.819
1776891060000,78440.6,78448.0,78386.5,78395.9,406.349
1776891240000,78395.9,78400.0,78360.0,78373.6,242.408
1776891420000,78373.7,78444.0,78369.6,78395.8,200.511
1776891600000,78395.8,78499.5,78361.4,78497.0,179.874
1776891780000,78497.1,78509.3,78470.4,78504.5,88.148
1776891960000,78504.6,78543.9,78504.5,78518.0,98.394
1776892140000,78518.1,78561.9,78518.0,78556.5,90.2
1776892320000,78556.4,78567.7,78511.6,78542.0,117.913
1776892500000,78542.0,78560.1,78537.0,78554.5,79.249
1776892680000,78554.6,78554.6,78516.9,78550.4,46.223
1776892860000,78550.4,78560.0,78516.0,78526.3,104.854
1776893040000,78526.4,78530.0,78524.0,78524.5,56.001
1776893220000,78524.5,78543.9,78524.5,78535.5,123.539
1776893400000,78535.4,78610.0,78535.4,78610.0,283.623
1776893580000,78610.0,78660.0,78604.6,78651.2,193.406
1776893760000,78651.1,78680.0,78627.4,78670.9,127.409
1776893940000,78670.9,78700.0,78650.0,78688.0,164.906
1776894120000,78688.0,78709.0,78656.7,78709.0,98.867
1776894300000,78709.0,78740.0,78686.8,78725.6,73.803
1776894480000,78725.6,78765.4,78720.0,78720.0,92.781
1776894660000,78720.0,78720.1,78660.9,78694.7,156.055
1776894840000,78694.8,78759.6,78686.3,78759.5,97.579
1776895020000,78759.5,78788.3,78686.8,78713.8,159.472
1776895200000,78713.9,78770.0,78672.0,78672.0,244.937
1776895380000,78672.0,78730.0,78643.1,78685.9,214.609
1776895560000,78685.9,78770.0,78685.9,78770.0,140.141
1776895740000,78769.9,78775.3,78725.3,78739.8,75.266
1776895920000,78739.8,78784.0,78715.3,78715.3,104.821
1776896100000,78715.3,78722.0,78637.0,78683.3,102.151
1776896280000,78683.4,78683.4,78527.8,78545.7,148.978
1776896460000,78545.8,78590.0,78535.3,78565.3,154.554
1776896640000,78565.3,78589.0,78522.7,78522.7,83.372
1776896820000,78522.7,78522.7,78479.2,78488.7,174.898
1776897000000,78488.7,78554.8,78479.2,78497.9,153.44
1776897180000,78497.9,78497.9,78427.8,78492.6,171.205
1776897360000,78492.6,78497.9,78441.9,78483.5,84.841
1776897540000,78483.5,78500.0,78483.4,78491.8,67.737
1776897720000,78491.8,78520.0,78450.0,78450.0,99.938
1776897900000,78450.1,78498.9,78420.0,78466.4,82.307
1776898080000,78466.5,78466.5,78403.2,78456.7,98.196
1776898260000,78456.8,78515.4,78456.3,78471.7,76.403
1776898440000,78471.6,78525.3,78466.6,78500.0,120.952
1776898620000,78500.1,78580.0,78500.0,78552.1,156.924
1776898800000,78552.1,78557.9,78444.0,78467.2,229.698
1776898980000,78467.3,78467.3,78423.7,78443.6,59.465
1776899160000,78443.6,78476.1,78400.0,78476.1,111.187
1776899340000,78476.1,78559.2,78476.0,78541.8,86.498
1776899520000,78541.8,78546.3,78512.0,78516.9,56.624
1776899700000,78517.0,78538.3,78502.9,78519.6,43.716
1776899880000,78519.7,78519.7,78450.0,78450.0,63.419
1776900060000,78450.1,78450.1,78295.0,78322.7,454.026
1776900240000,78322.7,78322.8,78150.7,78241.3,879.003
1776900420000,78241.2,78316.1,78140.1,78294.8,435.665
1776900600000,78294.8,78295.1,78160.1,78225.5,365.444
1776900780000,78225.4,78259.1,78198.0,78254.8,164.915
1776900960000,78254.8,78262.9,78186.4,78186.5,102.69
1776901140000,78186.5,78252.6,78186.5,78207.8,156.543
1776901320000,78207.8,78242.0,78180.0,78212.5,174.146
1776901500000,78212.5,78272.0,78200.0,78258.7,123.391
1776901680000,78258.7,78271.2,78222.7,78249.0,143.93
1776901860000,78249.1,78249.1,78151.8,78210.0,160.453
1776902040000,78209.9,78209.9,78150.0,78177.9,161.3
1776902220000,78177.9,78178.0,78111.6,78139.8,163.985
1776902400000,78139.7,78315.4,78139.7,78305.1,396.687
1776902580000,78305.0,78366.4,78250.8,78276.1,274.473
1776902760000,78276.1,78311.3,78164.0,78221.4,177.093
1776902940000,78221.4,78221.4,77983.4,78007.8,1354.68
1776903120000,78007.9,78007.9,77839.0,77839.0,1246.89
1776903300000,77839.1,77866.0,77526.8,77815.5,2807.266
1776903480000,77815.6,78396.0,77775.4,78174.3,1981.008
1776903660000,78174.3,78255.3,78080.3,78177.5,802.244
1776903840000,78177.4,78370.1,78155.1,78370.0,498.692
1776904020000,78370.1,78459.9,78163.4,78406.4,863.75
1776904200000,78406.3,78534.9,78287.0,78298.1,617.673
1776904380000,78298.1,78392.3,78260.2,78364.4,237.916
1776904560000,78364.5,78532.7,78345.9,78377.9,356.425
1776904740000,78378.0,78475.5,78373.3,78420.0,205.372
1776904920000,78420.0,78420.1,78334.2,78384.2,149.334
1776905100000,78384.7,78416.6,78293.9,78323.4,289.293
1776905280000,78323.5,78324.4,78221.5,78276.8,191.81
1776905460000,78276.7,78414.3,78264.4,78365.1,200.536
1776905640000,78365.0,78380.0,78305.0,78362.4,151.68
1776905820000,78362.5,78389.9,78332.3,78389.9,81.924
1776906000000,78390.0,78396.5,78300.0,78336.8,120.104
1776906180000,78336.8,78350.0,78250.0,78289.9,205.532
1776906360000,78289.9,78445.2,78281.1,78303.2,283.49
1776906540000,78303.2,78333.3,78189.5,78208.9,189.987
1776906720000,78208.9,78254.7,78187.3,78229.2,234.631
1776906900000,78229.2,78244.2,78106.3,78134.5,311.993
1776907080000,78134.4,78136.3,78054.1,78106.4,251.156
1776907260000,78106.3,78164.2,78050.0,78050.0,139.961
1776907440000,78050.0,78168.5,78015.0,78140.0,240.585
1776907620000,78140.1,78237.9,78043.4,78047.2,220.866
1776907800000,78047.1,78180.0,78026.7,78088.0,184.573
1776907980000,78088.0,78166.6,78042.0,78138.2,197.392
1776908160000,78138.1,78197.8,78113.5,78194.4,168.176
1776908340000,78194.6,78333.2,78180.1,78301.9,263.042
1776908520000,78302.0,78356.0,78211.8,78251.7,336.544
1776908700000,78251.7,78267.8,78210.0,78213.4,95.258
1776908880000,78213.4,78364.8,78179.2,78304.2,222.757
1776909060000,78304.1,78398.8,78255.0,78351.6,164.699
1776909240000,78351.6,78358.1,78280.7,78315.7,104.478
1776909420000,78315.7,78328.2,78275.7,78311.0,48.512
1776909600000,78310.9,78320.0,78223.2,78239.3,135.134
1776909780000,78239.3,78239.4,78177.0,78181.8,111.9
1776909960000,78181.9,78246.0,78160.0,78229.2,163.039
1776910140000,78229.3,78257.0,78205.3,78222.2,85.951
1776910320000,78222.1,78237.3,78119.9,78120.0,133.192
1776910500000,78120.0,78172.4,78025.2,78110.0,309.741
1776910680000,78110.1,78177.2,78055.2,78132.6,293.547
1776910860000,78132.7,78171.9,78057.0,78092.7,146.207
1776911040000,78092.7,78092.7,77939.7,78020.4,536.544
1776911220000,78020.2,78030.0,77953.1,77993.6,166.007
1776911400000,77993.7,78020.9,77909.8,77987.2,270.694
1776911580000,77987.3,78028.7,77960.0,78028.7,148.238
1776911760000,78028.7,78079.1,77792.7,77800.0,550.684
1776911940000,77800.0,77858.4,77740.0,77747.1,474.39
1776912120000,77747.1,77868.7,77715.0,77829.7,336.955
1776912300000,77829.7,77888.0,77788.0,77788.1,227.113
1776912480000,77788.2,77898.3,77723.4,77895.5,423.984
1776912660000,77895.5,77986.2,77893.1,77963.1,332.661
1776912840000,77963.1,77963.1,77881.3,77903.4,130.318
1776913020000,77903.3,77977.3,77871.0,77897.6,173.244
1776913200000,77897.6,77991.7,77853.2,77977.4,192.233
1776913380000,77977.4,77990.9,77850.0,77855.5,191.226
1776913560000,77855.5,77878.4,77791.2,77791.3,148.366
1776913740000,77791.3,77846.0,77756.9,77800.3,186.053
1776913920000,77800.2,77800.3,77680.0,77680.3,382.516
1776914100000,77680.2,77706.1,77635.9,77656.8,445.703
1776914280000,77656.8,77680.0,77590.2,77612.8,460.509
1776914460000,77612.9,77704.2,77605.1,77643.2,424.71
1776914640000,77643.1,77691.4,77588.2,77623.3,238.042
1776914820000,77623.4,77681.1,77600.0,77649.9,299.037
1776915000000,77649.9,77683.2,77567.0,77631.5,310.365
1776915180000,77631.6,77634.7,77558.5,77625.2,291.177
1776915360000,77625.2,77632.0,77551.0,77562.4,275.869
1776915540000,77562.2,77607.2,77410.7,77578.2,1446.779
1776915720000,77578.2,77595.7,77489.8,77591.9,234.612
1776915900000,77591.9,77659.0,77584.0,77620.6,271.567
1776916080000,77620.5,77620.5,77486.2,77603.8,574.474
1776916260000,77603.9,77655.5,77568.9,77654.8,173.194
1776916440000,77654.9,77692.9,77605.2,77643.3,225.175
1776916620000,77643.3,77723.1,77643.3,77704.3,256.975
1776916800000,77704.3,77704.3,77628.9,77649.8,208.953
1776916980000,77649.8,77721.7,77630.0,77657.6,327.361
1776917160000,77657.5,77737.1,77627.4,77728.9,154.728
1776917340000,77728.8,77833.3,77724.9,77812.9,386.1
1776917520000,77812.8,77846.7,77766.1,77814.4,226.313
1776917700000,77814.3,77888.0,77750.0,77810.8,369.582
1776917880000,77810.9,77902.6,77790.0,77847.7,436.163
1776918060000,77847.6,77865.6,77790.0,77790.1,122.227
1776918240000,77790.0,77790.1,77696.0,77732.1,245.05
1776918420000,77732.2,77770.0,77718.0,77757.6,127.315
1776918600000,77757.6,77850.0,77757.6,77840.1,133.982
1776918780000,77840.1,77879.5,77830.9,77865.4,119.165
1776918960000,77865.5,77866.3,77817.0,77834.7,86.719
1776919140000,77834.7,77869.5,77828.5,77869.5,108.484
1776919320000,77869.4,77869.5,77828.4,77828.4,132.695
1776919500000,77828.4,77884.0,77803.5,77808.0,136.732
1776919680000,77808.0,77848.3,77788.0,77812.7,293.281
1776919860000,77812.6,77864.9,77805.6,77864.9,64.319
1776920040000,77864.9,77885.6,77858.7,77873.3,185.127
1776920220000,77873.4,77912.0,77865.3,77871.6,164.657
1776920400000,77871.5,78000.0,77851.9,77946.2,449.865
1776920580000,77946.1,77982.8,77920.7,77934.6,154.325
1776920760000,77934.6,77965.5,77923.4,77941.3,218.531
1776920940000,77941.2,77982.9,77920.0,77939.6,375.624
1776921120000,77939.6,77960.1,77939.5,77940.0,80.194
1776921300000,77940.1,77949.7,77870.5,77870.5,147.188
1776921480000,77870.6,77974.3,77869.8,77940.3,494.059
1776921660000,77940.3,77940.3,77896.0,77910.0,79.552
1776921840000,77910.0,77910.0,77838.4,77853.8,149.756
1776922020000,77853.8,77874.2,77843.9,77854.9,84.488
1776922200000,77854.9,77859.6,77763.3,77769.5,224.441
1776922380000,77769.6,77814.2,77724.4,77780.7,294.35
1776922560000,77780.8,77846.7,77739.0,77800.2,156.28
1776922740000,77800.2,77818.0,77746.2,77791.2,140.23
1776922920000,77791.2,77832.3,77791.2,77828.7,55.377
1776923100000,77828.7,77913.8,77824.0,77890.9,101.272
1776923280000,77891.0,77980.0,77880.0,77980.0,181.97
1776923460000,77980.0,78093.2,77973.2,78021.5,569.605
1776923640000,78021.5,78021.6,77931.6,77977.1,431.277
1776923820000,77977.1,77992.0,77957.1,77991.9,77.985
1776924000000,77992.0,78036.3,77992.0,78036.3,176.334
1776924180000,78036.3,78179.5,78016.8,78165.4,549.812
1776924360000,78165.5,78223.0,78137.0,78199.0,653.104
1776924540000,78199.0,78236.0,78171.7,78194.2,453.012
1776924720000,78194.2,78194.2,78137.0,78156.4,197.553
1776924900000,78156.5,78218.5,78140.3,78203.4,234.69
1776925080000,78203.3,78203.4,78113.4,78149.8,378.934
1776925260000,78149.8,78310.1,78133.0,78283.3,875.718
1776925440000,78283.2,78298.3,78228.0,78279.7,188.64
1776925620000,78279.7,78279.7,78235.2,78238.1,188.431
1776925800000,78238.1,78300.0,78227.9,78289.6,264.717
1776925980000,78289.7,78289.7,78182.3,78215.4,289.712
1776926160000,78215.5,78215.5,78177.0,78207.5,164.593
1776926340000,78207.5,78207.5,78165.4,78165.4,123.719
1776926520000,78165.4,78168.2,78100.1,78134.0,238.927
1776926700000,78133.8,78137.6,78108.8,78134.3,110.23
1776926880000,78134.2,78134.3,78052.5,78109.0,182.201
