time,open,high,low,close,volume
1771758000000,1976.51,1982.67,1976.32,1979.84,65528.728
1771761600000,1979.85,1980.6,1960.0,1965.45,217496.029
1771765200000,1965.45,1967.99,1942.79,1949.91,341640.387
1771768800000,1949.9,1953.5,1942.24,1949.64,175442.269
1771772400000,1949.63,1957.84,1944.5,1952.81,158293.907
1771776000000,1952.81,1954.67,1946.51,1951.56,74277.11
1771779600000,1951.57,1952.72,1933.0,1939.23,207747.268
1771783200000,1939.23,1943.32,1937.28,1942.11,56057.669
1771786800000,1942.11,1944.99,1939.5,1942.81,38084.681
1771790400000,1942.81,1945.0,1938.92,1940.02,38741.853
1771794000000,1940.02,1951.33,1940.0,1949.44,53722.092
1771797600000,1949.43,1959.86,1945.7,1957.31,90319.977
1771801200000,1957.3,1960.0,1947.44,1957.01,98580.173
1771804800000,1957.0,1957.58,1927.0,1928.14,179848.671
1771808400000,1928.13,1928.13,1844.46,1854.93,1297595.097
1771812000000,1854.93,1867.48,1849.41,1861.45,302849.106
1771815600000,1861.45,1871.06,1853.73,1860.94,190690.288
1771819200000,1860.93,1863.12,1852.0,1858.16,102566.392
1771822800000,1858.15,1869.06,1858.0,1864.26,145701.607
1771826400000,1864.26,1881.6,1862.33,1877.9,215566.788
1771830000000,1877.91,1887.8,1875.5,1884.13,178547.522
1771833600000,1884.13,1888.99,1875.6,1879.25,138087.962
1771837200000,1879.25,1917.81,1879.25,1916.88,396456.326
1771840800000,1916.88,1927.73,1911.34,1913.23,313485.581
1771844400000,1913.23,1919.9,1910.19,1914.41,127871.133
1771848000000,1914.4,1925.98,1904.6,1919.28,241519.911
1771851600000,1919.29,1935.27,1917.79,1921.03,252123.376
1771855200000,1921.02,1924.75,1894.08,1906.05,489059.56
1771858800000,1906.07,1912.72,1891.42,1894.72,259094.549
1771862400000,1894.73,1899.34,1880.23,1884.2,303440.227
1771866000000,1884.2,1887.47,1836.06,1862.99,623086.199
1771869600000,1862.99,1873.58,1852.86,1856.62,241062.291
1771873200000,1856.63,1863.75,1845.7,1856.15,163600.413
1771876800000,1856.16,1862.16,1846.0,1859.82,154320.255
1771880400000,1859.82,1868.51,1857.53,1862.71,113542.903
1771884000000,1862.7,1869.04,1858.63,1859.08,66982.11
1771887600000,1859.08,1866.04,1849.65,1855.47,99725.017
1771891200000,1855.47,1868.94,1854.45,1867.01,94476.597
1771894800000,1867.0,1867.19,1810.46,1839.87,667736.36
1771898400000,1839.87,1853.84,1836.04,1842.42,157697.716
1771902000000,1842.43,1842.43,1821.77,1830.94,261520.506
1771905600000,1830.94,1832.98,1812.52,1829.81,293519.136
1771909200000,1829.81,1839.85,1813.0,1825.28,254604.52
1771912800000,1825.27,1830.9,1816.83,1819.97,129587.436
1771916400000,1819.97,1831.27,1813.98,1824.63,169940.825
1771920000000,1824.63,1835.55,1817.5,1830.44,151587.513
1771923600000,1830.44,1833.57,1813.16,1826.16,177189.845
1771927200000,1826.16,1829.04,1819.58,1825.0,102699.699
1771930800000,1825.0,1826.61,1817.1,1825.74,108157.326
1771934400000,1825.75,1829.72,1820.08,1823.01,123856.759
1771938000000,1823.02,1826.83,1796.0,1814.6,500429.561
1771941600000,1814.6,1846.93,1802.04,1833.68,619024.454
1771945200000,1833.68,1849.59,1826.91,1846.37,381419.798
1771948800000,1846.36,1862.63,1837.01,1857.43,433477.221
1771952400000,1857.42,1864.58,1848.17,1854.39,276789.741
1771956000000,1854.39,1859.63,1843.74,1854.01,127514.29
1771959600000,1854.01,1861.73,1845.57,1851.56,112762.387
1771963200000,1851.56,1861.48,1848.39,1857.53,77711.309
1771966800000,1857.53,1857.53,1843.83,1852.97,88232.196
1771970400000,1852.97,1863.5,1851.75,1859.66,73487.598
1771974000000,1859.67,1859.84,1850.54,1851.09,68442.392
1771977600000,1851.1,1855.82,1845.7,1850.95,84223.894
1771981200000,1850.95,1924.93,1849.51,1917.35,793898.299
1771984800000,1917.35,1945.7,1917.15,1919.95,359496.307
1771988400000,1919.94,1922.0,1902.43,1905.37,245100.602
1771992000000,1905.38,1913.82,1893.69,1905.23,238052.675
1771995600000,1905.22,1907.59,1877.06,1887.09,337138.929
1771999200000,1887.09,1895.77,1883.82,1884.21,107409.783
1772002800000,1884.22,1894.57,1881.29,1892.35,100753.911
1772006400000,1892.36,1913.08,1889.24,1909.42,225116.908
1772010000000,1909.42,1916.97,1906.5,1914.4,146784.074
1772013600000,1914.4,1925.0,1909.6,1911.76,138027.115
1772017200000,1911.75,1927.89,1906.51,1925.28,165279.907
1772020800000,1925.27,1956.64,1921.23,1952.64,410397.246
1772024400000,1952.65,1977.03,1951.5,1963.88,462620.582
1772028000000,1963.87,2000.0,1960.8,1996.62,616717.048
1772031600000,1996.61,2027.93,1985.51,2012.86,724223.683
1772035200000,2012.85,2048.64,2012.14,2045.53,531529.883
1772038800000,2045.53,2084.93,2043.22,2073.1,669086.511
1772042400000,2073.1,2081.17,2056.12,2073.2,364511.769
1772046000000,2073.21,2074.39,2058.0,2070.32,183362.998
1772049600000,2070.34,2083.99,2057.25,2073.76,264677.707
1772053200000,2073.75,2149.95,2064.71,2099.46,679825.91
1772056800000,2099.45,2114.8,2073.0,2082.11,274577.433
1772060400000,2082.1,2086.3,2033.18,2056.5,385593.138
1772064000000,2056.51,2076.0,2046.32,2061.25,252196.604
1772067600000,2061.26,2066.38,2048.41,2057.38,134591.383
1772071200000,2057.38,2058.08,2037.83,2052.07,174977.204
1772074800000,2052.07,2058.61,2046.16,2053.15,87265.474
1772078400000,2053.15,2083.09,2050.7,2073.87,220435.134
1772082000000,2073.87,2074.32,2055.41,2065.19,156425.366
1772085600000,2065.18,2075.96,2058.26,2061.54,121675.346
1772089200000,2061.55,2067.5,2050.5,2052.48,117137.483
1772092800000,2052.49,2058.39,2043.47,2053.32,195654.142
1772096400000,2053.33,2076.5,2051.71,2073.9,206037.073
1772100000000,2073.9,2082.65,2061.1,2064.38,155288.487
1772103600000,2064.37,2066.52,2052.29,2056.51,103331.869
1772107200000,2056.52,2071.43,2054.01,2069.2,118373.832
1772110800000,2069.2,2073.31,2060.07,2064.21,106095.503
1772114400000,2064.21,2077.4,2032.52,2050.22,469616.243
1772118000000,2050.22,2052.46,2010.38,2032.33,734430.623
1772121600000,2032.33,2036.79,1975.8,1982.89,665349.259
1772125200000,1982.88,1998.55,1981.2,1987.45,306175.634
1772128800000,1987.44,2009.02,1973.49,2003.1,355298.565
1772132400000,2003.11,2035.0,2002.45,2029.0,268926.118
1772136000000,2029.0,2042.6,2020.07,2022.6,163579.465
1772139600000,2022.6,2034.11,2016.7,2029.48,87133.887
1772143200000,2029.49,2036.94,2026.19,2032.15,56316.317
1772146800000,2032.14,2032.56,2023.03,2026.71,61594.831
1772150400000,2026.7,2029.82,2007.36,2013.83,143808.157
1772154000000,2013.83,2021.66,1999.2,2020.73,245314.837
1772157600000,2020.72,2033.91,2018.16,2025.17,108490.27
1772161200000,2025.17,2048.91,2018.31,2044.48,161090.033
1772164800000,2044.48,2063.71,2036.09,2041.8,308828.787
1772168400000,2041.79,2048.23,2037.62,2040.68,93106.208
1772172000000,2040.68,2041.89,2027.19,2034.91,125541.576
1772175600000,2034.91,2040.83,2021.0,2031.54,144932.222
1772179200000,2031.54,2045.59,2027.16,2032.63,160210.167
1772182800000,2032.63,2041.56,2006.88,2008.8,226994.388
1772186400000,2008.81,2012.8,1977.29,1979.6,479946.631
1772190000000,1979.59,1983.04,1951.48,1960.79,437767.461
1772193600000,1960.79,1968.0,1945.75,1958.77,286360.332
1772197200000,1958.77,1966.6,1936.0,1962.04,394520.78
1772200800000,1962.03,1963.24,1938.69,1941.91,363512.669
1772204400000,1941.9,1958.0,1939.43,1947.39,294500.83
1772208000000,1947.39,1947.75,1923.1,1926.01,417922.743
1772211600000,1926.0,1933.71,1906.0,1930.99,417850.213
1772215200000,1930.99,1931.98,1914.61,1917.03,166030.547
1772218800000,1917.02,1922.5,1910.92,1920.02,117293.315
1772222400000,1920.02,1925.88,1919.23,1922.12,91794.231
1772226000000,1922.11,1932.85,1915.81,1920.31,132581.58
1772229600000,1920.31,1926.17,1885.0,1920.1,339410.646
1772233200000,1920.11,1932.12,1918.67,1928.5,107469.617
1772236800000,1928.51,1937.37,1923.17,1931.21,96001.949
1772240400000,1931.21,1935.23,1916.77,1923.38,92794.327
1772244000000,1923.38,1931.51,1921.03,1929.14,49049.478
1772247600000,1929.15,1930.2,1919.19,1923.33,64685.426
1772251200000,1923.33,1930.86,1912.2,1924.24,110487.774
1772254800000,1924.24,1927.32,1913.13,1919.15,65864.857
1772258400000,1919.16,1919.56,1834.06,1841.51,974056.219
1772262000000,1841.51,1884.78,1834.11,1865.36,666267.612
1772265600000,1865.37,1867.79,1846.97,1851.43,321706.512
1772269200000,1851.43,1863.6,1843.19,1853.91,188492.533
1772272800000,1853.91,1866.62,1847.85,1863.94,194635.147
1772276400000,1863.94,1880.39,1860.3,1862.27,222739.721
1772280000000,1862.28,1873.29,1861.01,1867.52,109558.373
1772283600000,1867.52,1909.88,1864.0,1904.31,458461.772
1772287200000,1904.31,1914.99,1882.12,1886.83,545478.856
1772290800000,1886.82,1903.57,1871.82,1897.78,287923.744
1772294400000,1897.77,1909.18,1890.5,1902.77,157606.836
1772298000000,1902.77,1911.19,1884.13,1905.82,206707.281
1772301600000,1905.82,1946.77,1900.18,1934.87,380654.772
1772305200000,1934.86,1954.0,1918.86,1945.78,339481.406
1772308800000,1945.78,1973.0,1936.69,1964.57,349031.449
1772312400000,1964.58,1966.89,1943.4,1956.8,226932.669
1772316000000,1956.79,1984.22,1954.28,1964.46,212686.574
1772319600000,1964.46,1968.97,1955.31,1963.48,92682.211
1772323200000,1963.48,1968.6,1953.47,1961.67,115090.953
1772326800000,1961.66,2023.54,1942.42,2011.62,563191.965
1772330400000,2011.62,2054.67,2007.52,2032.18,681088.44
1772334000000,2032.17,2038.57,2015.18,2022.29,219534.319
1772337600000,2022.29,2029.63,1997.11,2014.86,305471.825
1772341200000,2014.86,2022.32,2008.13,2010.44,122705.076
1772344800000,2010.44,2011.78,1988.21,1997.6,278164.127
1772348400000,1997.59,2009.88,1992.0,2006.27,139279.534
1772352000000,2006.26,2009.3,1980.2,1985.24,207151.134
1772355600000,1985.24,1995.52,1974.08,1979.92,226835.253
1772359200000,1979.91,1992.4,1971.02,1983.91,210244.153
1772362800000,1983.91,1988.69,1980.89,1982.3,65095.847
1772366400000,1982.3,1987.25,1975.14,1977.48,100749.279
1772370000000,1977.48,2024.58,1967.34,2005.86,415420.445
1772373600000,2005.86,2027.77,1992.4,1999.13,347940.191
1772377200000,1999.13,2015.7,1991.0,1992.31,226795.865
1772380800000,1992.3,2010.0,1958.08,1973.35,476266.441
1772384400000,1973.35,1975.2,1950.85,1960.05,281835.683
1772388000000,1960.05,1996.72,1959.73,1974.7,325345.485
1772391600000,1974.7,1975.31,1942.65,1952.97,226946.072
1772395200000,1952.96,1954.49,1905.91,1912.78,506090.327
1772398800000,1912.77,1931.5,1911.12,1927.63,173414.418
