time,open,high,low,close,volume
1776705900000,2314.61,2314.77,2312.03,2312.92,5687.085
1776706200000,2312.91,2313.67,2306.52,2309.39,13269.464
1776706500000,2309.39,2314.5,2308.55,2312.81,7794.538
1776706800000,2312.8,2316.94,2311.5,2311.8,13564.414
1776707100000,2311.81,2319.66,2309.75,2319.04,10455.73
1776707400000,2319.04,2321.0,2314.31,2317.54,15981.986
1776707700000,2317.53,2318.29,2314.53,2316.04,6997.442
1776708000000,2316.04,2330.85,2316.04,2322.99,74320.726
1776708300000,2322.99,2330.0,2322.66,2329.73,22844.269
1776708600000,2329.73,2331.99,2327.27,2330.18,26317.602
1776708900000,2330.19,2332.85,2329.0,2332.6,24985.596
1776709200000,2332.59,2334.76,2326.88,2327.74,37971.51
1776709500000,2327.73,2329.11,2325.47,2327.15,14010.194
1776709800000,2327.16,2329.95,2324.24,2329.66,16347.376
1776710100000,2329.67,2330.22,2323.33,2324.45,17340.666
1776710400000,2324.45,2341.83,2324.44,2334.09,82125.931
1776710700000,2334.1,2334.1,2328.03,2330.07,23002.704
1776711000000,2330.06,2336.0,2330.06,2335.39,20174.242
1776711300000,2335.39,2343.27,2332.08,2332.89,57148.611
1776711600000,2332.9,2334.42,2328.7,2332.07,32522.901
1776711900000,2332.06,2334.84,2329.71,2333.74,11690.291
1776712200000,2333.74,2334.46,2330.64,2332.7,9067.257
1776712500000,2332.7,2332.71,2327.64,2328.95,10096.627
1776712800000,2328.96,2329.32,2325.42,2326.86,10113.061
1776713100000,2326.87,2328.96,2325.5,2328.0,6219.062
1776713400000,2328.01,2329.31,2325.89,2327.59,7504.032
1776713700000,2327.59,2329.34,2327.16,2328.67,5131.466
1776714000000,2328.68,2329.0,2326.3,2327.19,5075.57
1776714300000,2327.18,2328.3,2326.0,2328.3,4189.814
1776714600000,2328.29,2329.78,2326.2,2328.6,7036.362
1776714900000,2328.61,2332.87,2327.81,2330.39,8667.734
1776715200000,2330.39,2332.44,2327.14,2332.39,11798.597
1776715500000,2332.4,2332.81,2327.69,2328.4,8281.137
