time,open,high,low,close,volume
1647561600000,87.83,92.31,84.35,89.77,9735754.0
1647648000000,89.77,94.59,89.25,92.31,8081727.0
1647734400000,92.32,92.57,87.77,88.58,5885870.0
1647820800000,88.58,91.23,86.62,88.55,6892088.0
1647907200000,88.55,93.95,87.9,90.44,8424636.0
1647993600000,90.44,96.35,89.12,94.83,9602339.0
1648080000000,94.83,103.73,93.35,102.33,16825792.0
1648166400000,102.32,104.9,97.06,98.55,12559624.0
1648252800000,98.55,103.4,97.56,101.68,7816675.0
1648339200000,101.68,107.44,98.68,106.94,8450934.0
1648425600000,106.94,113.9,105.14,105.73,14660240.0
1648512000000,105.73,115.67,105.43,111.56,14281594.0
1648598400000,111.56,125.38,107.05,120.85,17470065.0
1648684800000,120.86,129.66,119.96,122.85,18324290.0
1648771200000,122.85,138.44,117.45,134.53,18008176.0
1648857600000,134.53,143.57,131.31,132.48,13621808.0
1648944000000,132.47,141.21,130.5,136.85,10552980.0
1649030400000,136.87,138.39,125.69,132.09,11182063.0
1649116800000,132.11,136.68,126.0,126.84,9678943.0
1649203200000,126.84,127.37,112.02,112.87,17201228.0
1649289600000,112.86,119.95,110.78,118.41,11490698.0
1649376000000,118.41,122.34,108.01,109.83,13211686.0
1649462400000,109.82,113.69,108.18,112.89,5902477.0
1649548800000,112.89,116.0,109.61,111.04,7295683.0
1649635200000,111.03,111.86,97.98,99.62,14793289.0
1649721600000,99.61,109.26,98.23,103.17,15291714.0
1649808000000,103.16,105.97,100.02,104.89,11418170.0
1649894400000,104.9,107.72,98.71,100.72,10852684.0
1649980800000,100.71,102.89,99.5,101.33,6751197.0
1650067200000,101.35,103.46,100.62,102.02,5001743.0
1650153600000,102.01,105.45,99.52,100.08,8059001.0
1650240000000,100.09,102.64,94.6,102.35,12777531.0
1650326400000,102.34,108.77,101.01,108.45,10332680.0
1650412800000,108.45,110.92,104.17,105.52,10567360.0
1650499200000,105.51,109.96,99.76,101.69,10894912.0
1650585600000,101.7,103.53,99.17,100.5,8603985.0
1650672000000,100.52,102.87,98.25,100.61,5619164.0
1650758400000,100.6,102.24,98.5,99.13,5752342.0
1650844800000,99.15,101.59,94.1,100.94,11992200.0
1650931200000,100.95,102.0,94.5,95.65,9883811.0
1651017600000,95.66,100.72,94.82,98.3,9300153.0
1651104000000,98.3,100.54,96.23,98.18,8849393.0
1651190400000,98.18,98.66,92.26,93.94,7536732.0
1651276800000,93.94,94.95,81.67,84.5,8575614.0
1651363200000,84.51,93.16,84.0,89.61,10483398.0
1651449600000,89.61,90.85,85.02,87.44,8842773.0
1651536000000,87.44,88.79,84.58,85.81,5748943.0
1651622400000,85.82,93.1,85.42,92.7,9386594.0
1651708800000,92.7,95.22,81.05,84.48,13780385.0
1651795200000,84.47,84.78,79.79,81.63,11726372.0
1651881600000,81.64,82.29,77.0,78.8,7750477.0
1651968000000,78.8,79.36,73.58,75.34,11858880.0
1652054400000,75.34,77.19,61.61,62.08,27684716.0
1652140800000,62.07,73.99,60.0,66.83,31795763.0
1652227200000,66.83,68.44,43.06,50.84,48303489.0
1652313600000,50.85,54.33,37.1,44.63,56691055.0
1652400000000,44.64,56.37,43.81,48.88,32943655.0
1652486400000,48.88,53.94,45.75,52.4,20221240.0
1652572800000,52.4,59.29,49.57,58.8,17821126.0
1652659200000,58.8,58.8,51.8,53.77,22140006.0
1652745600000,53.78,58.2,53.0,57.0,19937437.0
1652832000000,57.01,57.83,49.34,49.92,19348761.0
1652918400000,49.91,54.06,48.07,52.18,24662199.0
1653004800000,52.18,53.62,47.76,49.41,25283753.0
1653091200000,49.4,51.2,48.36,50.27,12313932.0
1653177600000,50.27,53.16,49.64,52.44,12729438.0
1653264000000,52.44,54.66,48.56,49.14,19904405.0
1653350400000,49.13,50.83,47.04,49.66,17662688.0
1653436800000,49.65,50.54,47.53,47.95,15918475.0
1653523200000,47.95,48.65,41.56,43.41,31944688.0
1653609600000,43.41,43.92,39.91,41.15,37585417.0
1653696000000,41.15,45.1,40.3,44.22,18317303.0
1653782400000,44.22,45.66,41.77,44.95,20540692.0
1653868800000,44.95,48.58,44.24,47.21,24302104.0
1653955200000,47.21,48.23,44.52,45.76,20880840.0
1654041600000,45.75,46.12,39.49,40.09,25819704.0
1654128000000,40.09,41.7,38.1,40.84,32212216.0
