time,open,high,low,close,volume
1771758000000,85.17,85.43,85.09,85.2,275723.77
1771761600000,85.2,85.26,84.27,84.4,964907.34
1771765200000,84.4,84.59,83.62,83.94,1180889.09
1771768800000,83.95,84.03,83.32,83.6,1140990.52
1771772400000,83.6,83.68,82.94,83.44,1559849.95
1771776000000,83.44,83.58,83.13,83.52,441868.66
1771779600000,83.53,83.56,82.76,83.01,785830.25
1771783200000,83.0,83.24,82.91,83.16,393500.79
1771786800000,83.16,83.36,82.97,83.25,232251.96
1771790400000,83.24,83.32,82.91,82.97,451927.27
1771794000000,82.97,83.53,82.97,83.44,289012.19
1771797600000,83.44,83.66,83.03,83.52,507598.24
1771801200000,83.52,83.6,82.43,82.75,1152990.25
1771804800000,82.75,82.81,81.26,81.34,1358483.17
1771808400000,81.33,81.33,77.39,77.88,6426229.44
1771812000000,77.88,78.37,77.45,77.79,1721771.38
1771815600000,77.78,78.23,77.16,77.57,1545407.03
1771819200000,77.58,77.66,77.06,77.29,937844.69
1771822800000,77.3,77.98,77.25,77.74,1366222.64
1771826400000,77.74,79.1,77.57,79.01,1906823.53
1771830000000,79.0,79.63,78.83,79.32,1214368.59
1771833600000,79.32,79.33,78.44,78.69,1201485.29
1771837200000,78.69,80.48,78.69,80.4,1986515.49
1771840800000,80.4,80.63,80.03,80.22,1051718.99
1771844400000,80.22,80.5,79.9,79.99,714984.57
1771848000000,79.99,80.93,79.81,80.65,1490843.06
1771851600000,80.65,81.06,80.37,80.47,1320628.72
1771855200000,80.47,80.76,79.36,80.09,2435669.86
1771858800000,80.09,80.29,79.15,79.35,1640658.32
1771862400000,79.36,79.76,78.61,78.92,2003221.99
1771866000000,78.93,79.11,77.21,78.27,2432078.28
1771869600000,78.28,79.26,78.0,78.57,1630953.09
1771873200000,78.58,78.87,77.88,78.25,1110452.43
1771876800000,78.24,78.5,77.8,78.26,937774.25
1771880400000,78.26,78.69,78.13,78.33,716229.08
1771884000000,78.33,78.87,78.2,78.21,717362.09
1771887600000,78.21,78.5,77.57,77.87,668599.56
1771891200000,77.86,78.49,77.85,78.41,662279.53
1771894800000,78.4,78.42,75.68,77.63,3291013.22
1771898400000,77.62,78.38,77.46,77.58,916891.98
1771902000000,77.59,77.59,76.43,76.84,1359040.92
1771905600000,76.84,77.04,76.06,76.8,1235165.01
1771909200000,76.8,77.29,76.15,76.59,1175168.39
1771912800000,76.58,76.89,76.33,76.55,570030.53
1771916400000,76.55,77.19,76.45,76.79,771912.21
1771920000000,76.8,77.15,76.43,76.98,660203.7
1771923600000,76.97,77.09,75.87,76.61,995095.29
1771927200000,76.61,76.79,76.35,76.71,440130.13
1771930800000,76.71,76.86,76.44,76.71,396014.53
1771934400000,76.71,77.01,76.45,76.54,619524.77
1771938000000,76.55,76.75,75.99,76.52,1078039.78
1771941600000,76.51,77.39,75.57,76.83,2636718.06
1771945200000,76.84,77.45,76.55,77.25,1338868.42
1771948800000,77.26,78.2,77.17,78.06,1729240.43
1771952400000,78.07,78.45,77.74,77.93,1138179.8
1771956000000,77.92,78.28,77.51,78.14,688056.46
1771959600000,78.14,78.47,77.82,78.32,648260.91
1771963200000,78.33,78.86,78.28,78.61,831433.85
1771966800000,78.6,78.67,78.06,78.48,663208.55
1771970400000,78.48,79.34,78.39,79.02,731907.28
1771974000000,79.02,79.56,78.59,78.91,957007.55
1771977600000,78.92,79.37,78.66,79.14,641745.89
1771981200000,79.13,82.53,79.04,81.94,4217964.18
1771984800000,81.95,82.97,81.93,82.41,1809415.86
1771988400000,82.42,82.53,81.58,81.72,1185220.03
