time,open,high,low,close,volume
1777065900000,86.59,86.61,86.53,86.54,3995.65
1777065960000,86.54,86.57,86.51,86.57,3228.57
1777066020000,86.57,86.57,86.48,86.49,5167.42
1777066080000,86.49,86.52,86.47,86.52,9561.49
1777066140000,86.52,86.54,86.51,86.52,2839.68
1777066200000,86.51,86.52,86.49,86.5,3167.65
1777066260000,86.5,86.52,86.49,86.52,6745.28
1777066320000,86.52,86.52,86.48,86.49,4608.95
1777066380000,86.49,86.52,86.48,86.52,3095.97
1777066440000,86.52,86.54,86.51,86.54,1360.59
1777066500000,86.54,86.55,86.47,86.48,12109.73
1777066560000,86.47,86.48,86.32,86.41,48832.55
1777066620000,86.41,86.43,86.39,86.43,8721.51
1777066680000,86.43,86.44,86.41,86.43,3118.05
1777066740000,86.43,86.46,86.42,86.43,6052.31
1777066800000,86.43,86.47,86.42,86.47,3768.92
1777066860000,86.47,86.49,86.46,86.48,2841.8
1777066920000,86.48,86.48,86.44,86.45,3030.56
1777066980000,86.45,86.45,86.44,86.45,3374.45
1777067040000,86.45,86.46,86.39,86.4,5766.16
1777067100000,86.39,86.44,86.39,86.43,4440.85
1777067160000,86.43,86.43,86.34,86.35,3482.77
1777067220000,86.35,86.44,86.33,86.44,6566.17
1777067280000,86.44,86.46,86.42,86.44,3498.69
1777067340000,86.43,86.46,86.43,86.46,1320.0
1777067400000,86.46,86.46,86.43,86.44,2235.23
1777067460000,86.43,86.45,86.43,86.44,1239.98
1777067520000,86.45,86.48,86.44,86.48,3460.66
1777067580000,86.48,86.48,86.43,86.44,3217.91
1777067640000,86.44,86.46,86.41,86.42,4380.42
1777067700000,86.42,86.47,86.41,86.42,3212.98
1777067760000,86.42,86.45,86.41,86.45,2218.64
1777067820000,86.45,86.45,86.44,86.45,697.31
1777067880000,86.45,86.47,86.44,86.45,3549.18
1777067940000,86.45,86.45,86.37,86.4,7245.96
1777068000000,86.4,86.4,86.34,86.4,9630.68
1777068060000,86.39,86.41,86.35,86.36,5572.7
1777068120000,86.36,86.38,86.33,86.36,6901.99
1777068180000,86.37,86.41,86.34,86.38,7021.51
1777068240000,86.38,86.38,86.3,86.32,11716.17
1777068300000,86.33,86.37,86.32,86.33,5749.01
1777068360000,86.34,86.35,86.32,86.34,2777.29
1777068420000,86.34,86.36,86.33,86.36,2371.2
1777068480000,86.36,86.4,86.35,86.4,2411.23
1777068540000,86.4,86.4,86.3,86.31,5218.42
1777068600000,86.31,86.33,86.3,86.33,4246.66
1777068660000,86.32,86.37,86.32,86.35,2978.48
1777068720000,86.36,86.38,86.35,86.38,3204.57
1777068780000,86.38,86.38,86.35,86.36,878.42
1777068840000,86.35,86.39,86.34,86.38,1507.42
1777068900000,86.38,86.38,86.35,86.38,1613.14
1777068960000,86.38,86.38,86.34,86.36,4573.45
1777069020000,86.37,86.37,86.33,86.35,6977.63
1777069080000,86.36,86.36,86.31,86.35,12830.76
1777069140000,86.35,86.39,86.35,86.39,1796.59
1777069200000,86.39,86.41,86.36,86.36,2160.38
1777069260000,86.37,86.37,86.33,86.33,1140.33
1777069320000,86.33,86.36,86.33,86.36,1500.12
1777069380000,86.35,86.4,86.35,86.37,14657.17
1777069440000,86.36,86.38,86.35,86.36,804.05
1777069500000,86.36,86.36,86.34,86.35,4466.07
1777069560000,86.36,86.36,86.33,86.33,1872.39
1777069620000,86.34,86.36,86.33,86.34,3564.3
1777069680000,86.34,86.34,86.33,86.34,420.58
1777069740000,86.33,86.34,86.31,86.31,11500.78
1777069800000,86.32,86.33,86.31,86.32,3494.77
1777069860000,86.32,86.32,86.27,86.29,14902.09
1777069920000,86.29,86.29,86.25,86.25,15621.73
1777069980000,86.25,86.27,86.25,86.26,5370.19
1777070040000,86.26,86.26,86.24,86.25,2238.28
1777070100000,86.25,86.28,86.24,86.25,4554.1
1777070160000,86.25,86.25,86.24,86.25,2161.1
1777070220000,86.25,86.31,86.25,86.29,5015.19
1777070280000,86.29,86.3,86.22,86.22,5513.63
1777070340000,86.22,86.22,86.07,86.12,35699.05
1777070400000,86.13,86.17,86.08,86.09,16257.03
1777070460000,86.09,86.12,86.08,86.12,8039.74
1777070520000,86.11,86.12,86.11,86.12,3951.74
1777070580000,86.12,86.15,86.12,86.14,3206.18
1777070640000,86.14,86.18,86.14,86.18,7032.36
1777070700000,86.18,86.23,86.18,86.21,10713.79
1777070760000,86.22,86.28,86.21,86.27,8190.61
1777070820000,86.28,86.28,86.23,86.24,6137.02
1777070880000,86.25,86.25,86.21,86.22,972.94
1777070940000,86.21,86.22,86.15,86.21,5424.54
1777071000000,86.21,86.24,86.2,86.23,1797.93
1777071060000,86.23,86.25,86.22,86.24,2346.46
1777071120000,86.24,86.24,86.19,86.21,4396.36
1777071180000,86.2,86.24,86.14,86.15,12117.25
1777071240000,86.16,86.18,86.15,86.18,10681.63
1777071300000,86.18,86.19,86.12,86.12,67727.8
1777071360000,86.12,86.12,86.02,86.11,38980.93
1777071420000,86.1,86.12,86.1,86.11,7956.56
1777071480000,86.12,86.13,86.11,86.13,1719.9
1777071540000,86.13,86.14,86.11,86.14,5983.86
1777071600000,86.14,86.17,86.13,86.17,5858.06
1777071660000,86.17,86.2,86.17,86.2,1349.48
1777071720000,86.2,86.2,86.14,86.15,3599.15
1777071780000,86.14,86.16,86.13,86.13,4264.42
1777071840000,86.13,86.17,86.12,86.17,2174.93
1777071900000,86.16,86.17,86.13,86.14,1058.43
1777071960000,86.14,86.15,86.13,86.15,3251.66
1777072020000,86.15,86.17,86.13,86.16,3987.51
1777072080000,86.15,86.16,86.15,86.16,709.58
1777072140000,86.16,86.17,86.15,86.17,1304.54
1777072200000,86.17,86.19,86.17,86.19,1714.63
1777072260000,86.19,86.2,86.18,86.19,2807.05
1777072320000,86.19,86.21,86.19,86.21,2956.07
1777072380000,86.21,86.22,86.2,86.22,2075.64
1777072440000,86.21,86.21,86.19,86.2,3780.07
1777072500000,86.19,86.2,86.18,86.19,1757.47
1777072560000,86.18,86.19,86.17,86.18,3394.47
1777072620000,86.19,86.2,86.18,86.19,1918.87
1777072680000,86.19,86.19,86.17,86.18,2111.4
1777072740000,86.18,86.2,86.17,86.19,3743.0
1777072800000,86.19,86.2,86.13,86.14,5175.95
1777072860000,86.14,86.15,86.1,86.12,3010.63
1777072920000,86.12,86.14,86.1,86.14,9359.86
1777072980000,86.13,86.17,86.13,86.16,3452.64
1777073040000,86.17,86.17,86.15,86.16,1530.34
1777073100000,86.16,86.17,86.15,86.16,2282.21
1777073160000,86.15,86.16,86.13,86.16,5490.47
1777073220000,86.15,86.17,86.14,86.17,1375.02
1777073280000,86.17,86.18,86.16,86.18,2390.11
1777073340000,86.18,86.18,86.15,86.17,2463.86
1777073400000,86.16,86.18,86.16,86.17,1115.92
1777073460000,86.16,86.21,86.16,86.21,2097.34
1777073520000,86.2,86.23,86.2,86.22,5149.81
1777073580000,86.22,86.24,86.22,86.22,3606.53
1777073640000,86.23,86.26,86.22,86.24,4939.14
1777073700000,86.25,86.25,86.21,86.22,3829.34
1777073760000,86.22,86.24,86.21,86.23,2626.31
1777073820000,86.23,86.24,86.21,86.21,1485.34
1777073880000,86.21,86.23,86.21,86.23,2020.89
1777073940000,86.22,86.23,86.18,86.18,5491.1
1777074000000,86.19,86.19,86.17,86.17,2047.54
1777074060000,86.17,86.18,86.17,86.17,1632.57
1777074120000,86.17,86.18,86.15,86.17,3114.03
1777074180000,86.17,86.18,86.16,86.16,1252.84
1777074240000,86.16,86.18,86.15,86.18,3211.58
1777074300000,86.17,86.18,86.14,86.15,5247.43
1777074360000,86.15,86.17,86.14,86.17,3723.78
1777074420000,86.16,86.17,86.16,86.16,2710.39
1777074480000,86.16,86.16,86.14,86.14,2524.96
1777074540000,86.14,86.17,86.14,86.16,1885.97
1777074600000,86.17,86.18,86.16,86.17,1056.43
1777074660000,86.17,86.18,86.16,86.16,1370.17
1777074720000,86.17,86.17,86.16,86.16,421.32
1777074780000,86.17,86.17,86.16,86.16,748.4
1777074840000,86.16,86.17,86.15,86.15,4289.65
1777074900000,86.15,86.16,86.15,86.15,274.48
1777074960000,86.15,86.18,86.15,86.18,2324.66
1777075020000,86.17,86.17,86.14,86.14,1557.05
1777075080000,86.15,86.15,86.14,86.14,490.8
1777075140000,86.15,86.15,86.13,86.13,5094.39
1777075200000,86.13,86.14,86.12,86.12,4431.24
1777075260000,86.13,86.19,86.12,86.17,7493.76
1777075320000,86.16,86.17,86.14,86.16,2987.34
1777075380000,86.16,86.17,86.15,86.17,3211.1
1777075440000,86.17,86.18,86.11,86.13,9935.86
1777075500000,86.13,86.14,86.12,86.14,3934.21
1777075560000,86.14,86.14,86.13,86.13,948.41
1777075620000,86.13,86.14,86.13,86.14,630.74
1777075680000,86.13,86.14,86.13,86.14,950.46
1777075740000,86.13,86.14,86.12,86.12,1402.61
1777075800000,86.13,86.13,86.11,86.11,1634.99
1777075860000,86.12,86.12,86.04,86.05,11212.09
1777075920000,86.05,86.08,86.05,86.05,9049.09
1777075980000,86.05,86.06,86.05,86.05,1282.57
1777076040000,86.06,86.06,86.05,86.06,2353.89
1777076100000,86.05,86.11,86.05,86.1,3490.62
1777076160000,86.11,86.11,86.07,86.07,4658.53
1777076220000,86.07,86.08,86.06,86.06,3473.47
1777076280000,86.06,86.07,86.04,86.04,7748.21
1777076340000,86.04,86.07,86.04,86.07,4785.15
1777076400000,86.06,86.09,86.06,86.08,1440.31
1777076460000,86.09,86.09,86.08,86.08,1568.22
1777076520000,86.09,86.09,86.08,86.09,578.22
1777076580000,86.09,86.09,86.07,86.08,2980.45
1777076640000,86.08,86.08,86.04,86.05,4846.57
1777076700000,86.06,86.06,86.03,86.03,1974.58
1777076760000,86.04,86.04,86.0,86.0,6574.57
1777076820000,86.0,86.01,86.0,86.0,564.48
1777076880000,86.0,86.01,85.99,85.99,4704.85
1777076940000,85.99,85.99,85.98,85.99,6910.15
1777077000000,85.98,86.01,85.98,86.01,4161.59
1777077060000,86.01,86.01,85.98,85.99,3818.42
1777077120000,85.98,85.99,85.98,85.99,2938.39
1777077180000,85.99,86.02,85.98,86.02,2456.79
1777077240000,86.01,86.03,86.01,86.03,2372.16
1777077300000,86.02,86.04,86.01,86.03,6009.06
1777077360000,86.04,86.14,86.02,86.1,18953.66
1777077420000,86.09,86.09,86.08,86.08,1260.3
1777077480000,86.09,86.1,86.08,86.09,1719.76
1777077540000,86.08,86.12,86.08,86.12,2859.12
1777077600000,86.12,86.14,86.11,86.14,2576.12
1777077660000,86.13,86.16,86.13,86.15,5072.21
1777077720000,86.16,86.18,86.15,86.18,2091.99
1777077780000,86.17,86.19,86.16,86.17,3407.91
