time,open,high,low,close,volume
1767744000000,79.88,82.4,76.5,78.92,220389.043
1767830400000,78.86,79.73,73.01,76.85,179508.031
1767916800000,76.85,80.53,75.78,79.86,286691.483
1768003200000,79.85,82.0,79.22,79.86,194240.349
1768089600000,79.85,81.88,79.5,81.65,89050.137
1768176000000,81.64,86.35,81.56,84.52,773362.815
1768262400000,84.57,89.17,83.54,88.01,907359.568
1768348800000,88.02,93.81,87.64,92.32,1469474.992
1768435200000,92.34,93.12,86.55,91.45,2069534.854
1768521600000,91.48,92.14,87.12,90.1,1447870.189
1768608000000,90.09,90.5,89.82,90.13,157988.358
1768694400000,90.15,94.0,89.9,93.03,507521.411
1768780800000,93.03,94.96,92.35,93.75,826329.353
1768867200000,93.76,96.0,92.74,94.94,1385068.732
1768953600000,94.96,95.55,90.36,91.13,1935207.171
1769040000000,91.14,96.97,90.99,96.95,1439520.274
1769126400000,96.95,104.39,96.65,104.14,2656578.934
1769212800000,104.14,104.49,103.01,103.26,644269.632
1769299200000,103.26,106.78,101.02,104.85,1253365.229
1769385600000,104.85,118.33,102.65,106.92,10476785.9
1769472000000,106.88,113.69,104.27,112.93,11262048.893
1769558400000,112.92,119.56,110.53,117.79,15794922.964
1769644800000,117.78,121.74,107.33,117.57,27036185.949
1769731200000,117.56,118.61,76.55,86.04,73935984.56
1769817600000,86.05,87.8,84.04,85.31,6931049.552
1769904000000,85.3,85.47,78.23,82.37,8360350.539
1769990400000,82.38,88.27,72.61,82.81,63523765.609
1770076800000,82.8,89.26,81.29,84.6,45492028.759
1770163200000,84.59,92.31,83.65,89.46,45187818.266
1770249600000,89.45,90.36,66.87,67.17,83594999.359
1770336000000,67.17,78.25,64.52,77.7,42011415.234
1770422400000,77.7,78.07,77.62,77.95,2259470.863
1770508800000,77.94,80.27,77.91,79.71,3830172.412
1770595200000,79.71,84.12,78.7,81.79,23047706.762
1770681600000,81.78,83.03,79.89,81.38,16411607.435
1770768000000,81.39,86.36,81.05,82.9,17686393.948
1770854400000,82.9,84.19,74.11,75.35,29237343.862
1770940800000,75.34,79.38,74.86,77.31,25155820.478
1771027200000,77.3,77.5,77.29,77.42,1088467.328
1771113600000,77.43,78.74,74.95,76.34,3141160.405
1771200000000,76.34,77.61,74.73,76.47,10595200.506
1771286400000,76.48,76.53,72.04,72.5,23091535.989
