time,open,high,low,close,volume
1771758000000,84.7,84.7,84.65,84.67,50790.413
1771761600000,84.67,84.79,84.67,84.77,49394.851
1771765200000,84.77,84.89,84.76,84.88,43478.577
1771768800000,84.88,85.06,84.83,84.97,105016.672
1771772400000,84.98,85.19,84.73,84.9,183312.522
1771776000000,84.91,85.4,84.9,85.03,339086.832
1771779600000,85.03,85.19,84.97,85.18,72464.965
1771783200000,85.18,85.23,84.82,84.82,119448.823
1771786800000,84.82,85.06,84.8,84.8,142769.681
1771790400000,84.81,85.28,84.81,85.22,212057.047
1771794000000,85.21,85.3,85.14,85.23,68671.967
1771797600000,85.24,85.7,85.22,85.53,163496.961
1771801200000,85.52,87.09,84.78,86.85,1919331.711
1771804800000,86.85,87.0,86.02,86.27,1426350.039
1771808400000,86.28,87.66,85.88,86.81,1216072.322
1771812000000,86.8,87.81,86.79,87.55,612702.333
1771815600000,87.56,87.65,87.08,87.19,453678.014
1771819200000,87.18,87.54,87.01,87.14,349492.813
1771822800000,87.14,87.27,86.77,86.98,404870.164
1771826400000,86.97,87.09,86.15,86.35,526936.787
1771830000000,86.35,86.63,85.11,85.77,1200558.079
1771833600000,85.77,86.43,85.62,86.32,788191.052
1771837200000,86.31,86.81,86.23,86.66,660407.699
1771840800000,86.66,87.05,86.59,86.93,597791.415
1771844400000,86.94,86.97,86.17,86.47,636241.638
1771848000000,86.47,87.11,86.32,87.06,658184.487
1771851600000,87.06,87.11,85.61,85.66,1115473.48
1771855200000,85.66,88.01,85.6,87.26,1924749.966
1771858800000,87.26,87.58,86.31,86.67,1831943.987
1771862400000,86.66,87.39,85.94,86.65,1516069.534
1771866000000,86.66,86.97,86.25,86.82,1012410.004
1771869600000,86.83,87.66,86.62,87.58,673063.508
1771873200000,87.57,87.8,87.38,87.63,403617.824
1771876800000,87.62,89.14,87.6,88.83,728558.065
1771880400000,88.82,88.82,87.92,88.16,381348.846
1771884000000,88.16,88.46,88.13,88.45,114884.451
1771887600000,88.45,88.9,86.7,88.02,1315424.497
1771891200000,88.03,88.22,87.24,87.6,871218.148
1771894800000,87.59,87.59,84.81,86.46,3289764.822
1771898400000,86.45,87.47,86.28,87.39,1350905.736
1771902000000,87.38,87.54,86.83,86.88,609444.155
1771905600000,86.88,87.05,86.65,86.81,397819.505
1771909200000,86.8,88.23,86.68,88.12,1136670.264
1771912800000,88.13,88.88,87.78,88.06,1311922.521
1771916400000,88.06,88.39,87.83,87.89,772451.51
1771920000000,87.89,88.26,87.63,88.1,783737.161
1771923600000,88.09,88.32,87.85,88.04,632838.414
1771927200000,88.04,88.61,87.88,88.09,790038.244
1771930800000,88.09,88.31,87.83,88.1,424453.959
1771934400000,88.09,88.22,87.28,87.75,839976.11
1771938000000,87.76,88.26,86.09,86.25,1446929.743
1771941600000,86.25,87.53,85.38,87.16,2577934.893
1771945200000,87.16,88.05,86.94,87.81,1227827.331
1771948800000,87.82,88.22,87.03,87.4,1241951.693
1771952400000,87.4,88.06,87.4,88.03,542609.609
1771956000000,88.03,88.26,87.13,87.31,712756.979
1771959600000,87.31,87.43,86.63,87.05,582092.259
1771963200000,87.06,87.71,86.71,87.35,578833.703
1771966800000,87.35,87.48,87.04,87.17,208715.423
1771970400000,87.18,87.43,86.82,87.0,167646.48
1771974000000,87.01,87.43,86.54,87.23,741577.818
1771977600000,87.23,87.49,86.76,87.42,764641.006
1771981200000,87.42,88.76,87.39,88.35,1360165.004
1771984800000,88.35,89.77,88.34,89.42,1364303.773
1771988400000,89.42,89.86,88.84,89.51,1444927.878
1771992000000,89.51,89.56,89.13,89.4,616142.105
1771995600000,89.4,91.19,89.4,90.78,1551333.86
1771999200000,90.78,90.81,90.08,90.52,1315421.554
1772002800000,90.53,90.66,90.22,90.34,678307.874
1772006400000,90.33,91.08,90.33,90.9,782544.149
1772010000000,90.9,90.95,90.38,90.67,773453.263
1772013600000,90.68,90.86,90.31,90.48,740506.786
1772017200000,90.49,90.49,89.5,90.49,1013427.88
1772020800000,90.48,90.7,90.12,90.58,1115534.413
1772024400000,90.58,90.99,90.27,90.56,1574104.298
1772028000000,90.56,90.89,89.44,90.55,2705732.666
1772031600000,90.55,90.78,89.79,90.59,1124913.365
1772035200000,90.59,91.06,90.28,90.85,1098204.961
1772038800000,90.84,91.15,90.59,91.05,704612.318
1772042400000,91.05,91.28,90.67,90.72,319447.72
1772046000000,90.72,91.27,90.68,91.11,634596.066
1772049600000,91.11,91.27,88.32,88.49,1674926.004
1772053200000,88.48,89.65,88.4,89.12,1289084.009
1772056800000,89.13,89.3,88.82,89.13,271811.185
