time,open,high,low,close,volume
1776885840000,77.76,77.84,77.76,77.8,3883.888
1776886020000,77.8,77.84,77.79,77.82,2904.289
1776886200000,77.82,77.83,77.78,77.78,5105.939
1776886380000,77.78,77.78,77.71,77.72,13980.916
1776886560000,77.71,77.79,77.71,77.78,9817.017
1776886740000,77.77,77.79,77.75,77.77,2790.382
1776886920000,77.77,77.77,77.72,77.76,2074.549
1776887100000,77.75,77.77,77.72,77.74,4033.657
1776887280000,77.74,77.79,77.7,77.78,9387.859
1776887460000,77.77,77.79,77.74,77.79,5592.07
1776887640000,77.79,77.84,77.77,77.81,11953.482
1776887820000,77.8,77.81,77.78,77.81,8129.671
1776888000000,77.8,77.81,77.76,77.79,6359.738
1776888180000,77.79,77.85,77.76,77.83,4926.445
1776888360000,77.83,77.83,77.79,77.79,3268.922
1776888540000,77.79,77.8,77.75,77.77,2887.502
1776888720000,77.77,77.77,77.7,77.72,6890.003
1776888900000,77.71,77.74,77.69,77.71,3948.697
1776889080000,77.71,77.75,77.69,77.71,10585.584
1776889260000,77.7,77.72,77.65,77.65,12500.743
1776889440000,77.65,77.67,77.63,77.65,4369.399
1776889620000,77.64,77.69,77.64,77.69,4851.282
1776889800000,77.69,77.72,77.69,77.71,3067.498
1776889980000,77.72,77.75,77.72,77.73,1537.627
1776890160000,77.74,77.75,77.65,77.73,11574.88
1776890340000,77.73,77.74,77.71,77.71,1447.391
1776890520000,77.71,77.72,77.69,77.72,1020.315
1776890700000,77.73,77.76,77.72,77.75,9044.19
1776890880000,77.75,77.77,77.73,77.73,3010.527
1776891060000,77.74,77.75,77.71,77.71,3078.195
1776891240000,77.71,77.74,77.71,77.74,5974.872
1776891420000,77.74,77.76,77.72,77.72,5350.705
1776891600000,77.72,77.72,77.67,77.7,27947.852
1776891780000,77.7,77.72,77.68,77.71,28337.551
1776891960000,77.71,77.73,77.7,77.73,3977.587
1776892140000,77.72,77.79,77.71,77.78,19067.907
1776892320000,77.78,77.8,77.78,77.78,19546.304
1776892500000,77.78,77.79,77.73,77.73,16885.129
1776892680000,77.72,77.79,77.72,77.79,9982.551
1776892860000,77.78,77.8,77.77,77.8,13932.215
1776893040000,77.8,77.8,77.75,77.77,13349.463
1776893220000,77.77,77.78,77.76,77.77,5209.356
1776893400000,77.77,77.85,77.77,77.82,15835.216
1776893580000,77.81,77.84,77.8,77.83,13808.106
1776893760000,77.83,77.84,77.8,77.8,4327.03
1776893940000,77.8,77.85,77.8,77.84,3156.067
1776894120000,77.84,77.88,77.82,77.85,5362.924
1776894300000,77.85,77.89,77.85,77.86,2745.324
1776894480000,77.86,77.87,77.66,77.73,23408.609
1776894660000,77.73,77.78,77.72,77.76,9564.88
1776894840000,77.75,77.8,77.75,77.78,1429.373
1776895020000,77.77,77.77,77.76,77.76,525.295
1776895200000,77.76,77.84,77.69,77.74,16744.118
1776895380000,77.73,77.75,77.67,77.67,37336.002
1776895560000,77.67,77.7,77.61,77.65,15095.892
1776895740000,77.65,77.72,77.65,77.72,6802.666
1776895920000,77.72,77.72,77.62,77.64,4652.112
1776896100000,77.64,77.72,77.64,77.72,4415.548
1776896280000,77.71,77.73,77.66,77.71,4628.633
1776896460000,77.7,77.72,77.64,77.69,11200.312
1776896640000,77.69,77.74,77.67,77.67,5850.38
1776896820000,77.67,77.67,77.63,77.65,9873.835
1776897000000,77.65,77.7,77.65,77.67,5039.579
1776897180000,77.67,77.68,77.64,77.65,1538.196
1776897360000,77.65,77.66,77.58,77.61,15126.712
1776897540000,77.6,77.64,77.57,77.64,3022.212
1776897720000,77.63,77.65,77.6,77.61,2722.077
1776897900000,77.61,77.65,77.57,77.61,4111.694
1776898080000,77.61,77.65,77.58,77.65,5571.962
1776898260000,77.65,77.66,77.59,77.6,2469.189
1776898440000,77.6,77.63,77.51,77.54,11355.338
1776898620000,77.55,77.56,77.51,77.53,9491.522
1776898800000,77.53,77.54,77.49,77.52,8730.804
1776898980000,77.52,77.53,77.47,77.5,4372.494
1776899160000,77.51,77.51,77.48,77.5,2323.49
1776899340000,77.5,77.58,77.5,77.55,4240.014
1776899520000,77.54,77.59,77.54,77.54,4095.679
1776899700000,77.53,77.58,77.53,77.58,2781.284
1776899880000,77.58,77.62,77.53,77.59,10892.128
1776900060000,77.58,77.58,77.52,77.52,9666.063
1776900240000,77.52,77.55,77.5,77.54,4918.036
1776900420000,77.55,77.55,77.52,77.54,13216.901
1776900600000,77.53,77.53,77.46,77.49,11577.158
1776900780000,77.48,77.51,77.47,77.47,6143.325
1776900960000,77.47,77.48,77.44,77.47,5861.503
1776901140000,77.46,77.48,77.42,77.44,8408.925
1776901320000,77.44,77.47,77.44,77.46,3128.597
1776901500000,77.47,77.56,77.47,77.56,6619.068
1776901680000,77.55,77.59,77.53,77.55,15442.259
1776901860000,77.56,77.57,77.5,77.53,4907.981
1776902040000,77.54,77.59,77.53,77.55,8537.575
1776902220000,77.55,77.58,77.52,77.56,6079.716
1776902400000,77.57,77.6,77.31,77.46,52115.568
1776902580000,77.45,77.54,77.41,77.46,19118.984
1776902760000,77.46,77.5,77.38,77.42,29444.814
1776902940000,77.42,77.43,76.97,77.01,194187.399
1776903120000,77.0,77.07,76.66,76.66,164361.571
1776903300000,76.66,76.99,76.42,76.93,188854.561
1776903480000,76.93,77.42,76.71,77.35,259675.829
1776903660000,77.35,77.44,77.24,77.3,71287.563
1776903840000,77.3,77.72,77.27,77.7,117171.843
1776904020000,77.7,77.88,77.55,77.85,67567.082
1776904200000,77.86,78.33,77.85,77.89,175156.936
1776904380000,77.89,78.07,77.89,77.97,61050.221
1776904560000,77.96,78.14,77.93,77.95,65796.441
1776904740000,77.96,78.13,77.96,78.0,40408.048
1776904920000,77.99,78.09,77.94,78.09,41145.753
1776905100000,78.09,78.28,78.06,78.17,46080.983
1776905280000,78.17,78.2,78.11,78.18,27080.995
1776905460000,78.18,78.4,78.17,78.25,50408.262
1776905640000,78.24,78.26,78.14,78.15,21221.377
1776905820000,78.15,78.21,78.13,78.21,13886.826
1776906000000,78.2,78.35,78.05,78.34,62118.828
1776906180000,78.34,78.36,78.19,78.19,39403.26
1776906360000,78.19,78.27,78.14,78.26,12300.537
1776906540000,78.25,78.26,78.02,78.06,28360.35
1776906720000,78.07,78.11,77.96,77.99,29642.907
1776906900000,77.98,78.03,77.64,77.74,80557.082
1776907080000,77.75,77.83,77.68,77.74,37781.179
1776907260000,77.75,77.76,77.57,77.64,23078.449
1776907440000,77.64,77.77,77.61,77.73,25460.818
1776907620000,77.73,77.76,77.49,77.53,33602.704
1776907800000,77.54,77.68,77.46,77.64,37205.814
1776907980000,77.63,77.67,77.55,77.66,12927.967
1776908160000,77.67,77.72,77.57,77.6,11063.802
1776908340000,77.61,77.74,77.61,77.73,5927.631
1776908520000,77.73,77.77,77.66,77.71,14023.104
1776908700000,77.71,77.79,77.7,77.76,17894.614
1776908880000,77.75,77.77,77.57,77.66,9981.722
1776909060000,77.65,77.65,77.21,77.25,69499.485
1776909240000,77.25,77.27,77.06,77.19,67245.59
1776909420000,77.2,77.25,77.08,77.11,42859.941
1776909600000,77.1,77.1,76.9,76.99,63821.427
1776909780000,76.99,77.04,76.84,76.86,42937.687
1776909960000,76.85,77.02,76.83,76.86,37260.018
1776910140000,76.85,76.88,76.69,76.71,34289.65
1776910320000,76.71,76.88,76.71,76.8,40486.26
1776910500000,76.8,76.96,76.71,76.81,42475.37
1776910680000,76.81,76.99,76.77,76.98,29873.748
1776910860000,76.98,77.11,76.94,76.98,35041.558
1776911040000,76.98,77.07,76.97,77.0,12402.451
1776911220000,76.99,77.03,76.89,76.91,21291.228
1776911400000,76.91,76.94,76.71,76.91,64624.983
1776911580000,76.92,76.97,76.87,76.92,37740.228
1776911760000,76.93,76.98,76.51,76.59,107261.028
1776911940000,76.6,76.73,76.53,76.57,58487.659
1776912120000,76.57,76.6,76.18,76.27,176907.293
1776912300000,76.26,76.37,76.02,76.23,131384.727
1776912480000,76.22,76.42,76.19,76.36,77427.993
1776912660000,76.35,76.37,76.11,76.3,71874.905
1776912840000,76.31,76.32,75.93,76.01,81304.587
1776913020000,76.01,76.13,75.84,75.86,82845.958
1776913200000,75.86,76.24,75.86,76.2,91639.938
1776913380000,76.2,76.25,76.08,76.08,58648.948
1776913560000,76.08,76.11,75.95,76.03,40110.142
1776913740000,76.03,76.14,75.8,75.92,62297.526
1776913920000,75.92,75.98,75.78,75.95,61788.786
1776914100000,75.94,76.03,75.82,75.84,40829.6
1776914280000,75.84,75.86,75.71,75.78,47155.476
1776914460000,75.78,76.02,75.78,75.97,34895.689
1776914640000,75.97,76.08,75.95,76.02,26879.905
1776914820000,76.02,76.08,75.83,75.87,49317.455
1776915000000,75.86,76.1,75.85,76.07,37313.3
1776915180000,76.07,76.1,75.97,76.1,16731.224
1776915360000,76.09,76.11,76.01,76.08,22174.715
1776915540000,76.07,76.34,76.05,76.26,53430.111
1776915720000,76.26,76.28,76.2,76.22,44858.602
1776915900000,76.21,76.27,76.14,76.24,21513.932
1776916080000,76.23,76.26,76.2,76.22,15285.281
1776916260000,76.22,76.24,76.15,76.19,11623.841
1776916440000,76.19,76.21,76.06,76.09,20066.58
1776916620000,76.08,76.16,76.08,76.16,8225.525
1776916800000,76.15,76.18,76.06,76.15,46255.321
1776916980000,76.15,76.17,76.08,76.09,9765.764
1776917160000,76.1,76.32,76.1,76.28,16595.815
1776917340000,76.28,76.32,76.25,76.28,15890.987
1776917520000,76.28,76.31,76.24,76.3,14996.027
1776917700000,76.31,76.31,76.13,76.21,13880.452
1776917880000,76.21,76.24,76.15,76.21,10207.088
1776918060000,76.21,76.23,76.16,76.19,8195.126
1776918240000,76.18,76.21,76.12,76.17,9999.347
1776918420000,76.18,76.24,76.16,76.19,3674.264
1776918600000,76.18,76.23,76.16,76.19,5522.614
1776918780000,76.2,76.25,76.19,76.2,4988.794
1776918960000,76.2,76.22,76.15,76.16,6562.722
1776919140000,76.16,76.21,76.15,76.16,5645.709
1776919320000,76.17,76.2,76.12,76.12,6910.335
1776919500000,76.12,76.16,76.04,76.12,6222.553
1776919680000,76.12,76.18,76.1,76.14,5096.413
1776919860000,76.15,76.26,76.14,76.2,5852.649
1776920040000,76.19,76.22,76.15,76.19,3479.256
1776920220000,76.19,76.28,76.19,76.27,4445.138
1776920400000,76.27,76.36,76.23,76.32,13713.537
1776920580000,76.32,76.34,76.27,76.3,7847.351
1776920760000,76.3,76.35,76.29,76.33,8879.643
1776920940000,76.33,76.37,76.3,76.33,3736.487
1776921120000,76.34,76.39,76.29,76.31,24814.118
1776921300000,76.31,76.32,76.19,76.24,11893.708
1776921480000,76.24,76.26,76.23,76.25,3203.033
1776921660000,76.24,76.28,76.2,76.22,9636.284
1776921840000,76.22,76.23,76.13,76.14,6071.791
1776922020000,76.13,76.23,76.13,76.16,7939.856
1776922200000,76.17,76.19,75.66,76.02,118243.294
1776922380000,76.02,76.09,75.99,76.04,16568.148
1776922560000,76.03,76.05,75.95,76.04,19999.851
1776922740000,76.05,76.06,75.9,75.93,8487.663
1776922920000,75.93,76.02,75.9,75.96,10394.895
1776923100000,75.96,76.19,75.96,76.13,17113.413
1776923280000,76.13,76.3,76.11,76.29,20545.114
1776923460000,76.29,76.33,76.24,76.27,13558.516
1776923640000,76.27,76.33,76.24,76.31,10187.757
1776923820000,76.31,76.33,76.26,76.29,8699.359
1776924000000,76.3,76.36,76.27,76.31,21904.385
1776924180000,76.32,76.35,76.13,76.16,29017.977
1776924360000,76.16,76.17,76.08,76.08,21363.489
1776924540000,76.08,76.13,76.03,76.13,14705.674
1776924720000,76.14,76.15,76.03,76.06,12909.44
1776924900000,76.06,76.09,76.01,76.02,14393.334
1776925080000,76.03,76.05,75.9,75.97,27841.63
1776925260000,75.97,76.1,75.88,76.03,18532.783
1776925440000,76.03,76.18,75.98,76.18,16253.642
1776925620000,76.17,76.19,76.12,76.16,15850.906
1776925800000,76.15,76.17,76.08,76.17,20420.619
1776925980000,76.16,76.18,76.04,76.07,11386.727
1776926160000,76.08,76.22,76.06,76.17,12978.968
1776926340000,76.17,76.19,76.12,76.12,6632.523
1776926520000,76.11,76.22,76.11,76.17,8239.248
1776926700000,76.17,76.31,76.12,76.3,20033.319
1776926880000,76.29,76.3,76.18,76.26,13588.585
1776927060000,76.25,76.33,76.25,76.31,31816.495
1776927240000,76.3,76.33,76.25,76.27,28711.448
1776927420000,76.26,76.26,76.19,76.2,7941.608
1776927600000,76.2,76.21,76.05,76.08,31287.582
1776927780000,76.08,76.17,76.03,76.1,11533.771
1776927960000,76.11,76.15,76.04,76.1,18101.714
1776928140000,76.1,76.19,76.06,76.11,21904.663
1776928320000,76.11,76.12,76.01,76.07,9684.411
1776928500000,76.07,76.13,75.98,76.05,21677.666
1776928680000,76.05,76.15,75.96,75.96,16310.084
1776928860000,75.96,75.98,75.9,75.96,21648.003
1776929040000,75.97,76.01,75.92,76.0,17230.624
1776929220000,76.0,76.05,75.9,75.92,8768.967
1776929400000,75.91,75.96,75.84,75.94,23257.3
1776929580000,75.93,76.15,75.89,76.08,29448.203
1776929760000,76.08,76.12,76.0,76.08,23386.536
1776929940000,76.08,76.1,75.97,75.98,10698.465
1776930120000,75.97,76.19,75.95,76.17,19747.762
1776930300000,76.17,76.26,76.17,76.24,16738.746
1776930480000,76.24,76.43,76.23,76.39,45909.21
1776930660000,76.39,76.39,76.23,76.25,26808.249
1776930840000,76.25,76.33,76.24,76.26,12580.12
1776931020000,76.25,76.32,76.21,76.26,18583.686
1776931200000,76.27,76.36,76.19,76.23,66907.129
1776931380000,76.23,76.29,76.2,76.2,11851.875
1776931560000,76.2,76.25,76.16,76.17,11996.523
1776931740000,76.18,76.21,76.13,76.17,9380.576
1776931920000,76.17,76.25,76.15,76.19,10837.522
1776932100000,76.19,76.24,76.16,76.2,11581.267
1776932280000,76.21,76.25,76.13,76.14,43328.025
1776932460000,76.14,76.19,76.07,76.08,61729.429
1776932640000,76.09,76.23,76.08,76.21,11217.499
1776932820000,76.21,76.23,76.02,76.04,16058.36
1776933000000,76.04,76.06,75.9,75.91,45470.154
1776933180000,75.91,76.02,75.84,75.96,41356.906
1776933360000,75.96,75.98,75.82,75.92,32447.762
1776933540000,75.92,75.93,75.83,75.89,13145.637
1776933720000,75.88,75.93,75.69,75.71,33589.9
1776933900000,75.7,75.71,75.56,75.71,78512.312
1776934080000,75.71,75.81,75.65,75.76,43032.582
1776934260000,75.75,75.78,75.68,75.77,27181.145
1776934440000,75.76,75.81,75.75,75.79,9553.62
1776934620000,75.78,75.8,75.68,75.7,14614.442
1776934800000,75.69,75.69,75.51,75.52,47944.233
1776934980000,75.53,75.57,75.35,75.43,79211.472
1776935160000,75.43,75.46,75.22,75.24,84229.456
1776935340000,75.25,75.33,75.2,75.3,84622.669
1776935520000,75.3,75.34,75.2,75.28,44289.466
1776935700000,75.28,75.4,75.2,75.38,41762.577
1776935880000,75.38,75.54,75.37,75.43,43343.169
1776936060000,75.43,75.52,75.42,75.47,34844.732
1776936240000,75.46,75.58,75.46,75.57,28246.256
1776936420000,75.58,75.63,75.51,75.57,19938.251
1776936600000,75.57,75.64,75.56,75.62,16828.252
1776936780000,75.62,75.66,75.58,75.59,11049.86
1776936960000,75.6,75.61,75.52,75.55,19945.046
1776937140000,75.55,75.57,75.51,75.56,17349.209
1776937320000,75.56,75.57,75.51,75.56,10957.347
1776937500000,75.56,75.59,75.47,75.47,15982.685
1776937680000,75.46,75.49,75.35,75.41,32956.333
1776937860000,75.41,75.51,75.37,75.45,24550.029
1776938040000,75.44,75.5,75.39,75.49,10728.285
1776938220000,75.49,75.49,75.43,75.45,11727.778
1776938400000,75.45,75.53,75.39,75.53,23593.024
1776938580000,75.52,75.53,75.39,75.44,39914.011
1776938760000,75.44,75.46,75.23,75.23,24305.338
1776938940000,75.23,75.27,75.16,75.2,53757.597
1776939120000,75.21,75.21,74.92,75.0,96642.323
1776939300000,75.0,75.09,74.97,74.97,45376.493
1776939480000,74.97,75.04,74.9,74.92,38492.377
1776939660000,74.91,74.91,74.44,74.67,244310.667
1776939840000,74.67,74.69,74.57,74.64,72903.865
1776940020000,74.64,74.73,74.36,74.37,72227.599
1776940200000,74.37,74.51,74.32,74.48,73591.916
1776940380000,74.48,74.62,74.39,74.41,51118.701
1776940560000,74.41,74.5,74.31,74.45,50004.672
1776940740000,74.45,74.59,74.45,74.52,33560.01
1776940920000,74.52,74.59,74.49,74.54,30007.486
1776941100000,74.54,74.64,74.42,74.42,53834.54
1776941280000,74.43,74.52,74.39,74.51,62211.729
1776941460000,74.52,74.53,74.38,74.38,33849.822
1776941640000,74.39,74.5,74.38,74.5,34915.414
1776941820000,74.5,74.66,74.49,74.63,26923.042
1776942000000,74.64,74.71,74.55,74.57,42642.405
1776942180000,74.58,74.64,74.56,74.63,27083.994
1776942360000,74.62,74.66,74.56,74.66,31985.241
1776942540000,74.65,74.73,74.62,74.69,16395.141
1776942720000,74.69,74.76,74.58,74.61,39424.593
1776942900000,74.61,74.65,74.58,74.61,30176.596
1776943080000,74.62,74.81,74.62,74.8,32533.561
1776943260000,74.8,74.81,74.71,74.77,13217.588
1776943440000,74.77,74.79,74.74,74.76,35931.207
1776943620000,74.77,74.8,74.63,74.69,20932.752
1776943800000,74.68,74.75,74.64,74.67,19492.742
1776943980000,74.67,74.77,74.62,74.77,19541.902
1776944160000,74.76,74.96,74.73,74.81,133584.484
1776944340000,74.82,74.97,74.82,74.96,22191.803
1776944520000,74.96,75.13,74.95,75.1,39706.593
1776944700000,75.11,75.34,75.08,75.32,65913.685
1776944880000,75.31,75.45,75.25,75.27,46911.613
1776945060000,75.26,75.54,75.24,75.5,52722.877
1776945240000,75.5,75.64,75.5,75.58,43596.241
1776945420000,75.58,75.68,75.55,75.57,36818.964
1776945600000,75.57,75.87,75.55,75.84,58580.931
1776945780000,75.84,76.04,75.79,76.04,64089.741
1776945960000,76.05,76.15,75.97,76.01,102103.892
1776946140000,76.01,76.26,75.99,76.19,112237.745
1776946320000,76.19,76.38,76.18,76.26,65604.593
