time,open,high,low,close,volume
1776885840000,4744.24,4747.1,4744.24,4745.51,603.267
1776886020000,4745.51,4747.28,4745.5,4746.81,211.469
1776886200000,4746.81,4746.81,4745.31,4745.59,457.648
1776886380000,4745.58,4745.58,4742.79,4742.79,337.923
1776886560000,4742.8,4744.0,4742.49,4743.58,470.911
1776886740000,4743.57,4743.57,4742.31,4742.31,153.887
1776886920000,4742.31,4742.36,4741.56,4742.21,175.768
1776887100000,4742.2,4742.58,4740.46,4740.99,261.788
1776887280000,4740.99,4742.25,4740.45,4742.06,406.67
1776887460000,4742.05,4742.79,4741.49,4742.76,298.831
1776887640000,4742.76,4743.96,4742.29,4742.72,443.464
1776887820000,4742.71,4743.26,4741.81,4742.54,436.412
1776888000000,4742.55,4743.02,4741.07,4742.83,464.552
1776888180000,4742.82,4743.27,4741.87,4743.1,97.928
1776888360000,4743.11,4743.11,4742.15,4742.15,67.421
1776888540000,4742.15,4742.16,4740.06,4740.35,205.195
1776888720000,4740.36,4740.61,4739.22,4740.06,329.091
1776888900000,4740.01,4740.81,4739.65,4740.54,246.727
1776889080000,4740.55,4740.55,4740.09,4740.22,223.168
1776889260000,4740.21,4740.61,4738.65,4739.15,181.68
1776889440000,4739.15,4739.5,4738.63,4738.63,75.004
1776889620000,4738.64,4740.92,4738.48,4740.61,118.596
1776889800000,4740.62,4742.03,4740.61,4742.02,137.191
1776889980000,4742.03,4742.79,4741.98,4741.99,67.763
1776890160000,4741.98,4741.99,4740.09,4741.08,240.156
1776890340000,4741.07,4741.08,4740.58,4740.82,102.518
1776890520000,4740.99,4740.99,4740.0,4740.83,98.877
1776890700000,4740.83,4742.49,4740.82,4742.28,81.258
1776890880000,4742.49,4742.75,4741.8,4741.8,93.792
1776891060000,4741.8,4743.12,4741.68,4742.36,119.106
1776891240000,4742.37,4742.79,4742.16,4742.79,64.73
1776891420000,4742.8,4743.86,4742.63,4742.63,139.373
1776891600000,4742.6,4742.6,4742.59,4742.59,22.06
1776891780000,4742.59,4742.6,4742.59,4742.6,45.388
1776891960000,4742.59,4742.6,4742.59,4742.59,3.861
1776892140000,4742.59,4745.4,4742.59,4745.39,543.934
1776892320000,4745.39,4747.34,4745.39,4746.02,465.591
1776892500000,4746.01,4746.02,4745.33,4745.34,31.742
1776892680000,4745.33,4745.34,4745.33,4745.34,10.651
1776892860000,4745.33,4745.34,4745.33,4745.33,21.647
1776893040000,4745.33,4745.34,4745.33,4745.33,21.807
1776893220000,4745.33,4747.03,4745.33,4747.02,108.825
1776893400000,4747.02,4747.96,4747.02,4747.96,53.322
1776893580000,4747.95,4747.96,4747.0,4747.01,137.144
1776893760000,4747.01,4749.06,4747.0,4749.05,277.703
1776893940000,4749.05,4749.96,4748.3,4749.79,222.167
1776894120000,4749.79,4751.5,4749.36,4751.19,403.191
1776894300000,4751.18,4751.18,4749.97,4749.97,39.757
1776894480000,4749.97,4749.98,4748.16,4748.28,52.432
1776894660000,4748.27,4748.28,4747.45,4747.7,23.35
1776894840000,4747.69,4749.0,4747.4,4748.19,117.551
1776895020000,4748.19,4748.19,4746.66,4746.66,51.006
1776895200000,4746.66,4747.65,4744.58,4745.92,996.953
1776895380000,4745.92,4745.92,4742.12,4742.12,652.229
1776895560000,4742.05,4742.82,4739.7,4740.53,616.974
1776895740000,4740.33,4741.48,4739.85,4740.79,507.133
1776895920000,4740.79,4740.79,4738.44,4739.1,591.779
1776896100000,4739.1,4741.0,4739.09,4740.99,140.257
1776896280000,4740.99,4740.99,4738.1,4740.01,438.531
1776896460000,4740.0,4740.0,4738.29,4739.3,341.254
1776896640000,4739.3,4739.3,4737.2,4737.2,243.129
1776896820000,4737.21,4737.21,4734.71,4734.71,323.961
1776897000000,4734.72,4737.1,4734.72,4736.24,305.625
1776897180000,4736.24,4736.24,4734.86,4735.4,542.955
1776897360000,4735.45,4735.61,4733.4,4733.41,149.915
1776897540000,4733.41,4733.58,4732.63,4733.42,434.113
1776897720000,4733.44,4733.83,4731.52,4731.96,467.275
1776897900000,4731.96,4733.51,4731.06,4732.56,322.335
1776898080000,4732.56,4732.87,4731.15,4732.87,403.133
1776898260000,4732.87,4733.69,4731.62,4732.08,251.767
1776898440000,4732.17,4733.12,4730.39,4730.39,356.573
1776898620000,4730.39,4730.55,4729.31,4729.56,924.848
1776898800000,4729.56,4729.88,4727.21,4728.38,786.786
1776898980000,4728.37,4728.38,4726.42,4727.1,592.08
1776899160000,4727.1,4727.12,4725.74,4727.12,653.692
1776899340000,4727.11,4729.2,4726.88,4728.89,494.986
1776899520000,4728.9,4729.67,4727.34,4727.34,234.061
1776899700000,4727.34,4729.0,4727.34,4729.0,216.558
1776899880000,4729.0,4731.0,4728.99,4731.0,223.692
1776900060000,4730.99,4731.0,4729.32,4729.32,280.841
1776900240000,4729.32,4729.33,4727.34,4729.28,205.607
1776900420000,4729.28,4729.55,4728.16,4729.5,162.261
1776900600000,4729.49,4729.5,4727.87,4727.87,198.177
1776900780000,4727.87,4729.55,4727.87,4727.88,248.62
1776900960000,4727.88,4727.97,4727.34,4727.34,74.771
1776901140000,4727.34,4728.29,4726.76,4727.01,237.632
1776901320000,4727.0,4727.01,4726.41,4726.49,359.52
1776901500000,4726.5,4729.32,4726.5,4729.05,486.567
1776901680000,4729.04,4729.78,4728.48,4729.36,403.485
1776901860000,4729.35,4729.65,4727.58,4728.9,410.724
1776902040000,4728.76,4730.5,4728.55,4729.7,262.584
1776902220000,4729.71,4730.46,4728.45,4729.52,352.271
1776902400000,4729.53,4729.72,4722.85,4724.41,1437.316
1776902580000,4724.4,4726.16,4722.63,4723.1,645.994
1776902760000,4723.11,4723.94,4721.03,4722.23,823.733
1776902940000,4722.23,4722.24,4713.52,4714.44,4347.078
1776903120000,4714.53,4714.89,4701.0,4701.48,4397.768
1776903300000,4701.48,4710.96,4696.68,4710.75,4803.322
1776903480000,4710.49,4731.36,4706.0,4728.84,8813.63
1776903660000,4728.84,4734.35,4727.43,4729.29,4213.474
1776903840000,4729.28,4740.4,4727.77,4739.04,3640.917
1776904020000,4739.05,4742.93,4735.33,4742.17,1426.369
1776904200000,4742.18,4752.96,4742.17,4743.84,3223.212
1776904380000,4743.76,4748.32,4743.76,4745.41,712.004
1776904560000,4745.4,4749.23,4744.56,4744.65,779.975
1776904740000,4744.82,4748.38,4744.82,4745.76,495.07
1776904920000,4745.76,4745.76,4743.31,4745.6,644.771
1776905100000,4745.59,4751.0,4744.65,4750.23,1133.623
1776905280000,4750.22,4750.4,4747.2,4749.64,670.815
1776905460000,4749.63,4754.83,4749.4,4750.05,1047.555
1776905640000,4750.06,4750.66,4747.0,4747.04,727.383
1776905820000,4747.04,4749.2,4746.23,4749.2,346.306
1776906000000,4749.19,4751.01,4744.58,4750.55,1039.663
1776906180000,4750.54,4750.64,4745.85,4746.37,617.958
1776906360000,4746.37,4746.72,4743.64,4746.26,553.364
1776906540000,4746.26,4746.26,4739.28,4740.08,730.421
1776906720000,4740.08,4740.74,4737.34,4738.57,561.823
